stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000362649	9606.ENSP00000365720	HDAC1	TLE4	9606	0.83	0	0	0	0	0.355	0.5	0.515
9606.ENSP00000262238	9606.ENSP00000362649	YY1	HDAC1	9606	0.999	0	0	0	0.108	0.785	0.8	0.993
9606.ENSP00000357189	9606.ENSP00000361626	HDGF	YBX1	9606	0.737	0	0	0	0.289	0	0	0.646
9606.ENSP00000346694	9606.ENSP00000400433	HNRNPA2B1	HNRNPF	9606	0.985	0	0	0	0.718	0.292	0.4	0.892
9606.ENSP00000265866	9606.ENSP00000346694	HNRNPH3	HNRNPA2B1	9606	0.968	0	0	0	0.785	0.617	0	0.641
9606.ENSP00000325376	9606.ENSP00000346694	HNRNPM	HNRNPA2B1	9606	0.987	0	0	0	0.788	0.316	0.4	0.871
9606.ENSP00000346694	9606.ENSP00000361626	HNRNPA2B1	YBX1	9606	0.905	0	0	0	0.155	0.633	0.4	0.553
9606.ENSP00000265866	9606.ENSP00000400433	HNRNPH3	HNRNPF	9606	0.865	0	0	0.069	0.43	0.625	0	0.402
9606.ENSP00000325376	9606.ENSP00000400433	HNRNPM	HNRNPF	9606	0.981	0	0	0	0.785	0.381	0.4	0.79
9606.ENSP00000361626	9606.ENSP00000400433	YBX1	HNRNPF	9606	0.709	0	0	0	0.11	0.292	0.4	0.322
9606.ENSP00000265866	9606.ENSP00000325376	HNRNPH3	HNRNPM	9606	0.945	0	0	0	0.83	0.045	0	0.687
9606.ENSP00000325376	9606.ENSP00000361626	HNRNPM	YBX1	9606	0.782	0.054	0	0	0.192	0.053	0.4	0.575
9606.ENSP00000354927	9606.ENSP00000430684	MAP3K3	IKBKB	9606	0.959	0	0	0	0.107	0.215	0.9	0.489
9606.ENSP00000226574	9606.ENSP00000430684	NFKB1	IKBKB	9606	0.999	0	0	0	0.125	0.885	0.9	0.979
9606.ENSP00000216797	9606.ENSP00000430684	NFKBIA	IKBKB	9606	0.999	0	0	0	0.042	0.994	0.9	0.995
9606.ENSP00000356426	9606.ENSP00000430684	TAB2	IKBKB	9606	0.992	0	0	0	0.059	0.325	0.9	0.893
9606.ENSP00000345984	9606.ENSP00000430684	TRAF3IP2	IKBKB	9606	0.885	0	0	0	0.067	0.625	0	0.698
9606.ENSP00000298229	9606.ENSP00000405338	INPPL1	INPP5D	9606	0.926	0	0	0.073	0.049	0.164	0.9	0.151
9606.ENSP00000298229	9606.ENSP00000462468	INPPL1	YES1	9606	0.814	0	0	0	0.077	0.074	0.8	0
9606.ENSP00000256079	9606.ENSP00000384863	IPO8	XPO1	9606	0.777	0	0	0	0.116	0	0	0.758
9606.ENSP00000296181	9606.ENSP00000379350	ITGB5	ITGB1	9606	0.96	0	0	0.082	0.103	0	0.9	0.581
9606.ENSP00000222573	9606.ENSP00000379350	ITGB8	ITGB1	9606	0.94	0	0	0.07	0	0	0.9	0.41
9606.ENSP00000258341	9606.ENSP00000379350	LAMC1	ITGB1	9606	0.982	0	0	0	0.167	0.9	0.65	0.472
9606.ENSP00000261799	9606.ENSP00000379350	PDGFRB	ITGB1	9606	0.735	0	0	0	0.058	0.063	0	0.724
9606.ENSP00000378517	9606.ENSP00000379350	SPP1	ITGB1	9606	0.996	0	0	0	0.044	0.292	0.9	0.95
9606.ENSP00000355896	9606.ENSP00000379350	TGFB2	ITGB1	9606	0.755	0	0	0	0.148	0	0.5	0.471
9606.ENSP00000222573	9606.ENSP00000296181	ITGB8	ITGB5	9606	0.945	0	0	0.084	0	0	0.9	0.448
9606.ENSP00000258341	9606.ENSP00000296181	LAMC1	ITGB5	9606	0.814	0	0	0	0.183	0.047	0.65	0.398
9606.ENSP00000296181	9606.ENSP00000353452	ITGB5	MYLK	9606	0.76	0	0	0	0.115	0	0.5	0.502
9606.ENSP00000296181	9606.ENSP00000360293	ITGB5	SORBS1	9606	0.82	0	0	0	0.057	0	0.8	0.126
9606.ENSP00000296181	9606.ENSP00000378517	ITGB5	SPP1	9606	0.968	0	0	0	0.062	0.292	0.9	0.576
9606.ENSP00000222573	9606.ENSP00000258341	ITGB8	LAMC1	9606	0.708	0	0	0	0.042	0.047	0.65	0.196
9606.ENSP00000222573	9606.ENSP00000378517	ITGB8	SPP1	9606	0.732	0	0	0	0.062	0	0.65	0.25
9606.ENSP00000222573	9606.ENSP00000355896	ITGB8	TGFB2	9606	0.8	0	0	0	0.088	0	0.5	0.597
9606.ENSP00000263754	9606.ENSP00000287239	KAT2B	KAT6B	9606	0.754	0	0	0	0.056	0.308	0	0.654
9606.ENSP00000263754	9606.ENSP00000264674	KAT2B	MECOM	9606	0.861	0	0	0	0	0.539	0	0.712
9606.ENSP00000212015	9606.ENSP00000263754	SIRT1	KAT2B	9606	0.96	0	0	0	0.075	0.424	0	0.932
9606.ENSP00000263754	9606.ENSP00000495556	KAT2B	TBL1X	9606	0.7	0	0	0	0.049	0.275	0.5	0.233
9606.ENSP00000307078	9606.ENSP00000378725	KIF5B	KTN1	9606	0.731	0	0	0	0.237	0.091	0.5	0.317
9606.ENSP00000329357	9606.ENSP00000419923	SP1	KLF6	9606	0.837	0	0	0	0.045	0.72	0	0.442
9606.ENSP00000314067	9606.ENSP00000339916	PAK2	LIMK2	9606	0.91	0	0	0	0.06	0.071	0.9	0.093
9606.ENSP00000354573	9606.ENSP00000364721	MACF1	MAPRE1	9606	0.902	0	0	0	0.044	0.707	0	0.679
9606.ENSP00000354927	9606.ENSP00000387246	MAP3K3	MAP3K2	9606	0.952	0	0	0.054	0.05	0.522	0.9	0.063
9606.ENSP00000314067	9606.ENSP00000387246	PAK2	MAP3K2	9606	0.927	0	0	0	0.109	0.181	0.9	0.126
9606.ENSP00000314067	9606.ENSP00000354927	PAK2	MAP3K3	9606	0.922	0	0	0	0.049	0.181	0.9	0.126
9606.ENSP00000331152	9606.ENSP00000351490	MXI1	MAX	9606	0.998	0	0	0	0.092	0.934	0	0.979
9606.ENSP00000320006	9606.ENSP00000370340	MPDZ	NFIB	9606	0.735	0	0	0	0.202	0	0	0.681
9606.ENSP00000320006	9606.ENSP00000438262	MPDZ	TJP2	9606	0.817	0	0	0	0.047	0	0	0.816
9606.ENSP00000320006	9606.ENSP00000478927	MPDZ	YAP1	9606	0.716	0	0	0	0.157	0.614	0	0.196
9606.ENSP00000464317	9606.ENSP00000500891	MYH3	MUTYH	9606	0.769	0	0	0	0.042	0	0	0.769
9606.ENSP00000314067	9606.ENSP00000353452	PAK2	MYLK	9606	0.766	0	0	0	0.058	0	0.75	0.088
9606.ENSP00000360231	9606.ENSP00000370340	NFIA	NFIB	9606	0.812	0	0	0	0.354	0.705	0	0.095
9606.ENSP00000216797	9606.ENSP00000226574	NFKBIA	NFKB1	9606	0.999	0	0	0	0.242	0.997	0.9	0.986
9606.ENSP00000212015	9606.ENSP00000226574	SIRT1	NFKB1	9606	0.983	0	0	0	0.049	0.33	0.9	0.768
9606.ENSP00000226574	9606.ENSP00000329357	NFKB1	SP1	9606	0.91	0	0	0	0.067	0.748	0	0.648
9606.ENSP00000226574	9606.ENSP00000293328	NFKB1	STAT5B	9606	0.741	0	0	0	0.079	0.045	0	0.729
9606.ENSP00000226574	9606.ENSP00000356426	NFKB1	TAB2	9606	0.893	0	0	0	0.075	0.294	0.5	0.712
9606.ENSP00000226574	9606.ENSP00000317891	NFKB1	TNIP1	9606	0.932	0	0	0	0.27	0.739	0	0.675
9606.ENSP00000226574	9606.ENSP00000262238	NFKB1	YY1	9606	0.715	0	0	0	0.062	0.181	0	0.659
9606.ENSP00000216797	9606.ENSP00000356426	NFKBIA	TAB2	9606	0.795	0	0	0	0.06	0.045	0.5	0.597
9606.ENSP00000282516	9606.ENSP00000372689	NIPBL	STAG1	9606	0.997	0	0	0	0.369	0.956	0.5	0.84
9606.ENSP00000218089	9606.ENSP00000282516	STAG2	NIPBL	9606	0.982	0	0	0	0.407	0.664	0.5	0.845
9606.ENSP00000362900	9606.ENSP00000436679	SRSF4	NXF1	9606	0.882	0	0	0	0.132	0.465	0.65	0.358
9606.ENSP00000348708	9606.ENSP00000436679	UPF2	NXF1	9606	0.751	0	0	0	0.067	0	0	0.744
9606.ENSP00000384863	9606.ENSP00000436679	XPO1	NXF1	9606	0.924	0	0	0	0.067	0.582	0	0.821
9606.ENSP00000238738	9606.ENSP00000314067	RHOQ	PAK2	9606	0.735	0	0	0	0.07	0.391	0.5	0.174
9606.ENSP00000216277	9606.ENSP00000362900	PAPOLA	SRSF4	9606	0.884	0	0	0	0.119	0.235	0.8	0.244
9606.ENSP00000261799	9606.ENSP00000293328	PDGFRB	STAT5B	9606	0.726	0	0	0	0.055	0.079	0.5	0.446
9606.ENSP00000341779	9606.ENSP00000478927	PPP1CC	YAP1	9606	0.919	0	0	0	0.056	0.167	0.9	0.096
9606.ENSP00000300584	9606.ENSP00000461945	TBC1D2B	RAB31	9606	0.753	0	0	0	0.044	0.098	0	0.737
9606.ENSP00000361120	9606.ENSP00000372924	RALGDS	RALBP1	9606	0.784	0	0	0	0	0	0	0.784
9606.ENSP00000310448	9606.ENSP00000362900	SART1	SRSF4	9606	0.759	0	0	0	0.049	0.718	0	0.171
9606.ENSP00000212015	9606.ENSP00000262238	SIRT1	YY1	9606	0.936	0	0	0	0.107	0.05	0.36	0.897
9606.ENSP00000348708	9606.ENSP00000355261	UPF2	SMG5	9606	0.979	0	0	0	0.093	0.071	0	0.977
9606.ENSP00000249647	9606.ENSP00000376178	SNAP23	STX2	9606	0.999	0	0	0	0.057	0.894	0.8	0.994
9606.ENSP00000360293	9606.ENSP00000414147	SORBS1	SPART	9606	0.956	0	0	0	0.06	0	0	0.956
9606.ENSP00000262238	9606.ENSP00000329357	YY1	SP1	9606	0.863	0	0	0	0.149	0.806	0	0.24
9606.ENSP00000218089	9606.ENSP00000372689	STAG2	STAG1	9606	0.996	0	0	0.053	0.403	0.792	0.9	0.781
9606.ENSP00000218089	9606.ENSP00000303015	STAG2	ZRSR2	9606	0.794	0	0	0	0.127	0	0	0.773
9606.ENSP00000350719	9606.ENSP00000385616	SYNE2	SUN2	9606	0.999	0	0	0	0.043	0.976	0.9	0.999
9606.ENSP00000356426	9606.ENSP00000495556	TAB2	TBL1X	9606	0.729	0	0	0	0.075	0.292	0	0.62
9606.ENSP00000262965	9606.ENSP00000388940	TCF3	TCF12	9606	0.764	0	0	0.052	0.042	0.299	0.4	0.478
9606.ENSP00000438262	9606.ENSP00000478927	TJP2	YAP1	9606	0.99	0	0	0	0.062	0.576	0.9	0.797
9606.ENSP00000384863	9606.ENSP00000478927	XPO1	YAP1	9606	0.788	0	0	0	0.09	0.163	0	0.745
9606.ENSP00000462468	9606.ENSP00000478927	YES1	YAP1	9606	0.987	0	0	0	0.163	0.314	0.7	0.936
9606.ENSP00000303015	9606.ENSP00000361626	ZRSR2	YBX1	9606	0.9	0	0	0	0	0	0.9	0
9606.ENSP00000314709	9606.ENSP00000419153	ZHX2	ZBTB20	9606	0.854	0	0	0	0.083	0.048	0	0.847
