queryItem	queryIndex	stringId	ncbiTaxonId	taxonName	preferredName	annotation
PPP2R2B	34	9606.ENSP00000377936	9606	Homo sapiens	PPP2R2B	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform; The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment. Within the PP2A holoenzyme complex, isoform 2 is required to promote proapoptotic activity (By similarity). Isoform 2 regulates neuronal survival through the mitochondrial fission and fusion balance (By similarity).
SCG5	35	9606.ENSP00000300175	9606	Homo sapiens	SCG5	Neuroendocrine protein 7B2; Acts as a molecular chaperone for PCSK2/PC2, preventing its premature activation in the regulated secretory pathway. Binds to inactive PCSK2 in the endoplasmic reticulum and facilitates its transport from there to later compartments of the secretory pathway where it is proteolytically matured and activated. Also required for cleavage of PCSK2 but does not appear to be involved in its folding. Plays a role in regulating pituitary hormone secretion. The C-terminal peptide inhibits PCSK2 in vitro.
ATP6AP2	36	9606.ENSP00000490083	9606	Homo sapiens	ATP6AP2	Renin receptor C-terminal fragment; Multifunctional protein which functions as a renin, prorenin cellular receptor and is involved in the assembly of the proton- transporting vacuolar (V)-ATPase protein pump. May mediate renin-dependent cellular responses by activating ERK1 and ERK2. By increasing the catalytic efficiency of renin in AGT/angiotensinogen conversion to angiotensin I, it may also play a role in the renin-angiotensin system (RAS). Probably by controlling the assembly of the V-ATPase pump and thus the acidification of the endo-lysosomal system, plays a role in many neuronal [...] 
PWP1	37	9606.ENSP00000387365	9606	Homo sapiens	PWP1	Periodic tryptophan protein 1 homolog; Chromatin-associated factor that regulates transcription. Regulates Pol I-mediated rRNA biogenesis and, probably, Pol III-mediated transcription. Regulates the epigenetic status of rDNA.
GLO1	38	9606.ENSP00000362463	9606	Homo sapiens	GLO1	Lactoylglutathione lyase; Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione. Involved in the regulation of TNF-induced transcriptional activity of NF-kappa-B. Required for normal osteoclastogenesis.
SKP1	39	9606.ENSP00000231487	9606	Homo sapiens	SKP1	S-phase kinase-associated protein 1; Essential component of the SCF (SKP1-CUL1-F-box protein) ubiquitin ligase complex, which mediates the ubiquitination of proteins involved in cell cycle progression, signal transduction and transcription. In the SCF complex, serves as an adapter that links the F-box protein to CUL1. The functional specificity of the SCF complex depends on the F-box protein as substrate recognition component. SCF(BTRC) and SCF(FBXW11) direct ubiquitination of CTNNB1 and participate in Wnt signaling. SCF(FBXW11) directs ubiquitination of phosphorylated NFKBIA. SCF(BTRC [...] 
GABARAPL1	40	9606.ENSP00000411256	9606	Homo sapiens	GABARAPL1	Gamma-aminobutyric acid receptor-associated protein-like 1; GABA type A receptor associated protein like 1.
SCG2	41	9606.ENSP00000304133	9606	Homo sapiens	SCG2	Secretogranin-2; Neuroendocrine protein of the granin family that regulates the biogenesis of secretory granules.
COPG1	42	9606.ENSP00000325002	9606	Homo sapiens	COPG1	Coatomer subunit gamma-1; The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin- coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins. In mammals, the coatomer can only be recruited by membranes associated to ADP-ribosylation factors (ARFs), which are small GTP-binding proteins; the complex also i [...] 
DNAJA2	43	9606.ENSP00000314030	9606	Homo sapiens	DNAJA2	DnaJ homolog subfamily A member 2; Co-chaperone of Hsc70. Stimulates ATP hydrolysis and the folding of unfolded proteins mediated by HSPA1A/B (in vitro).
VDAC1	44	9606.ENSP00000378487	9606	Homo sapiens	VDAC1	Voltage-dependent anion-selective channel protein 1; Forms a channel through the mitochondrial outer membrane and also the plasma membrane. The channel at the outer mitochondrial membrane allows diffusion of small hydrophilic molecules; in the plasma membrane it is involved in cell volume regulation and apoptosis. It adopts an open conformation at low or zero membrane potential and a closed conformation at potentials above 30-40 mV. The open state has a weak anion selectivity whereas the closed state is cation-selective. May participate in the formation of the permeability transition p [...] 
PCMT1	45	9606.ENSP00000497225	9606	Homo sapiens	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase; Catalyzes the methyl esterification of L-isoaspartyl and D- aspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and/or degradation of damaged proteins. Acts on EIF4EBP2, microtubule-associated protein 2, calreticulin, clathrin light chains a and b, Ubiquitin carboxyl-terminal hydrolase isozyme L1, phosphatidylethanolamine-binding protein 1, stathmin, beta-synuclein and alpha-synuclein.
CFL1	46	9606.ENSP00000432660	9606	Homo sapiens	CFL1	Cofilin-1; Binds to F-actin and exhibits pH-sensitive F-actin depolymerizing activity. Regulates actin cytoskeleton dynamics. Important for normal progress through mitosis and normal cytokinesis. Plays a role in the regulation of cell morphology and cytoskeletal organization. Required for the up-regulation of atypical chemokine receptor ACKR2 from endosomal compartment to cell membrane, increasing its efficiency in chemokine uptake and degradation. Required for neural tube morphogenesis and neural crest cell migration (By similarity).
TOMM70	47	9606.ENSP00000284320	9606	Homo sapiens	TOMM70	Mitochondrial import receptor subunit TOM70; Receptor that accelerates the import of all mitochondrial precursor proteins.
UBE2N	48	9606.ENSP00000316176	9606	Homo sapiens	UBE2N	Ubiquitin-conjugating enzyme E2 N; The UBE2V1-UBE2N and UBE2V2-UBE2N heterodimers catalyze the synthesis of non-canonical 'Lys-63'-linked polyubiquitin chains. This type of polyubiquitination does not lead to protein degradation by the proteasome. Mediates transcriptional activation of target genes. Plays a role in the control of progress through the cell cycle and differentiation. Plays a role in the error-free DNA repair pathway and contributes to the survival of cells after DNA damage. Acts together with the E3 ligases, HLTF and SHPRH, in the 'Lys-63'-linked poly- ubiquitination of  [...] 
RTCA	49	9606.ENSP00000260563	9606	Homo sapiens	RTCA	RNA 3'-terminal phosphate cyclase; Catalyzes the conversion of 3'-phosphate to a 2',3'-cyclic phosphodiester at the end of RNA. The mechanism of action of the enzyme occurs in 3 steps: (A) adenylation of the enzyme by ATP; (B) transfer of adenylate to an RNA-N3'P to produce RNA-N3'PP5'A; (C) and attack of the adjacent 2'-hydroxyl on the 3'-phosphorus in the diester linkage to produce the cyclic end product. The biological role of this enzyme is unknown but it is likely to function in some aspects of cellular RNA processing; Belongs to the RNA 3'-terminal cyclase family. Type 1 subfamily.
HINT1	50	9606.ENSP00000304229	9606	Homo sapiens	HINT1	Histidine triad nucleotide-binding protein 1; Hydrolyzes purine nucleotide phosphoramidates with a single phosphate group, including adenosine 5'monophosphoramidate (AMP-NH2), adenosine 5'monophosphomorpholidate (AMP-morpholidate) and guanosine 5'monophosphomorpholidate (GMP-morpholidate). Hydrolyzes lysyl-AMP (AMP-N-epsilon-(N-alpha-acetyl lysine methyl ester)) generated by lysine tRNA ligase, as well as Met-AMP, His-AMP and Asp-AMP, lysyl-GMP (GMP-N-epsilon-(N-alpha-acetyl lysine methyl ester)) and AMP-N-alanine methyl ester. Can also convert adenosine 5'-O-phosphorothioate and guano [...] 
AP3M2	51	9606.ENSP00000428787	9606	Homo sapiens	AP3M2	AP-3 complex subunit mu-2; Part of the AP-3 complex, an adaptor-related complex which is not clathrin-associated. The complex is associated with the Golgi region as well as more peripheral structures. It facilitates the budding of vesicles from the Golgi membrane and may be directly involved in trafficking to lysosomes. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals; Belongs to the adaptor complexes medium subunit family.
HPRT1	52	9606.ENSP00000298556	9606	Homo sapiens	HPRT1	Hypoxanthine-guanine phosphoribosyltransferase; Converts guanine to guanosine monophosphate, and hypoxanthine to inosine monophosphate. Transfers the 5-phosphoribosyl group from 5- phosphoribosylpyrophosphate onto the purine. Plays a central role in the generation of purine nucleotides through the purine salvage pathway.
SLC30A9	53	9606.ENSP00000264451	9606	Homo sapiens	SLC30A9	Zinc transporter 9; Acts as a zinc transporter involved in intracellular zinc homeostasis. Functions as a secondary coactivator for nuclear receptors by cooperating with p160 coactivators subtypes. Plays a role in transcriptional activation of Wnt-responsive genes (By similarity).
PJA2	54	9606.ENSP00000354775	9606	Homo sapiens	PJA2	E3 ubiquitin-protein ligase Praja-2; Has E2-dependent E3 ubiquitin-protein ligase activity. Responsible for ubiquitination of cAMP-dependent protein kinase type I and type II-alpha/beta regulatory subunits and for targeting them for proteasomal degradation. Essential for PKA-mediated long-term memory processes. Through the ubiquitination of MFHAS1, positively regulates the TLR2 signaling pathway that leads to the activation of the downstream p38 and JNK MAP kinases and promotes the polarization of macrophages toward the pro-inflammatory M1 phenotype.
KIFAP3	55	9606.ENSP00000354560	9606	Homo sapiens	KIFAP3	Kinesin-associated protein 3; Involved in tethering the chromosomes to the spindle pole and in chromosome movement. Binds to the tail domain of the KIF3A/KIF3B heterodimer to form a heterotrimeric KIF3 complex and may regulate the membrane binding of this complex (By similarity).
PSMD1	56	9606.ENSP00000309474	9606	Homo sapiens	PSMD1	26S proteasome non-ATPase regulatory subunit 1; Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair; Belongs to the proteasome subunit S1 family.
DLD	57	9606.ENSP00000205402	9606	Homo sapiens	DLD	Dihydrolipoyl dehydrogenase, mitochondrial; Lipoamide dehydrogenase is a component of the glycine cleavage system as well as an E3 component of three alpha-ketoacid dehydrogenase complexes (pyruvate-, alpha-ketoglutarate-, and branched- chain amino acid-dehydrogenase complex). The 2-oxoglutarate dehydrogenase complex is mainly active in the mitochondrion. A fraction of the 2- oxoglutarate dehydrogenase complex also localizes in the nucleus and is required for lysine succinylation of histones: associates with KAT2A on chromatin and provides succinyl-CoA to histone succinyltransferase KA [...] 
MPC2	58	9606.ENSP00000271373	9606	Homo sapiens	MPC2	Mitochondrial pyruvate carrier 2; Mediates the uptake of pyruvate into mitochondria.
CDC42	59	9606.ENSP00000497733	9606	Homo sapiens	CDC42	Cell division control protein 42 homolog; Plasma membrane-associated small GTPase which cycles between an active GTP-bound and an inactive GDP-bound state. In active state binds to a variety of effector proteins to regulate cellular responses. Involved in epithelial cell polarization processes. Regulates the bipolar attachment of spindle microtubules to kinetochores before chromosome congression in metaphase. Regulates cell migration. In neurons, plays a role in the extension and maintenance of the formation of filopodia, thin and actin-rich surface projections. Required for DOCK10-med [...] 
ACO2	60	9606.ENSP00000216254	9606	Homo sapiens	ACO2	Aconitate hydratase, mitochondrial; Catalyzes the isomerization of citrate to isocitrate via cis- aconitate; Belongs to the aconitase/IPM isomerase family.
DCTN2	61	9606.ENSP00000408910	9606	Homo sapiens	DCTN2	Dynactin subunit 2; Modulates cytoplasmic dynein binding to an organelle, and plays a role in prometaphase chromosome alignment and spindle organization during mitosis. Involved in anchoring microtubules to centrosomes. May play a role in synapse formation during brain development.
CIRBP	62	9606.ENSP00000466025	9606	Homo sapiens	CIRBP	Cold-inducible RNA-binding protein; Cold-inducible mRNA binding protein that plays a protective role in the genotoxic stress response by stabilizing transcripts of genes involved in cell survival. Acts as a translational activator. Seems to play an essential role in cold-induced suppression of cell proliferation. Binds specifically to the 3'-untranslated regions (3'- UTRs) of stress-responsive transcripts RPA2 and TXN. Acts as a translational repressor (By similarity). Promotes assembly of stress granules (SGs), when overexpressed.
GPHN	63	9606.ENSP00000417901	9606	Homo sapiens	GPHN	Molybdopterin molybdenumtransferase; Microtubule-associated protein involved in membrane protein- cytoskeleton interactions. It is thought to anchor the inhibitory glycine receptor (GLYR) to subsynaptic microtubules. Catalyzes two steps in the biosynthesis of the molybdenum cofactor. In the first step, molybdopterin is adenylated. Subsequently, molybdate is inserted into adenylated molybdopterin and AMP is released. In the C-terminal section; belongs to the MoeA family.
KHDRBS1	64	9606.ENSP00000313829	9606	Homo sapiens	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1; Recruited and tyrosine phosphorylated by several receptor systems, for example the T-cell, leptin and insulin receptors. Once phosphorylated, functions as an adapter protein in signal transduction cascades by binding to SH2 and SH3 domain-containing proteins. Role in G2-M progression in the cell cycle. Represses CBP-dependent transcriptional activation apparently by competing with other nuclear factors for binding to CBP. Also acts as a putative regulator of mRNA stability and/or translation rates and mediates [...] 
HMG20A	65	9606.ENSP00000371133	9606	Homo sapiens	HMG20A	High mobility group protein 20A; Plays a role in neuronal differentiation as chromatin- associated protein. Acts as inhibitor of HMG20B. Overcomes the repressive effects of the neuronal silencer REST and induces the activation of neuronal-specific genes. Involved in the recruitment of the histone methyltransferase KMT2A/MLL1 and consequent increased methylation of histone H3 lysine 4 (By similarity).
PAK1	66	9606.ENSP00000278568	9606	Homo sapiens	PAK1	Serine/threonine-protein kinase PAK 1; Protein kinase involved in intracellular signaling pathways downstream of integrins and receptor-type kinases that plays an important role in cytoskeleton dynamics, in cell adhesion, migration, proliferation, apoptosis, mitosis, and in vesicle-mediated transport processes. Can directly phosphorylate BAD and protects cells against apoptosis. Activated by interaction with CDC42 and RAC1. Functions as GTPase effector that links the Rho-related GTPases CDC42 and RAC1 to the JNK MAP kinase pathway. Phosphorylates and activates MAP2K1, and thereby media [...] 
SERPINI1	67	9606.ENSP00000295777	9606	Homo sapiens	SERPINI1	Neuroserpin; Serine protease inhibitor that inhibits plasminogen activators and plasmin but not thrombin. May be involved in the formation or reorganization of synaptic connections as well as for synaptic plasticity in the adult nervous system. May protect neurons from cell damage by tissue-type plasminogen activator (Probable).
SLC4A1AP	68	9606.ENSP00000479964	9606	Homo sapiens	SLC4A1AP	Kanadaptin; Solute carrier family 4 member 1 adaptor protein.
SCG3	69	9606.ENSP00000220478	9606	Homo sapiens	SCG3	Secretogranin-3; Member of the granin protein family that regulates the biogenesis of secretory granules. Acts as a sorting receptor for intragranular proteins including chromogranin A/CHGA (By similarity). May also play a role in angiogenesis. Promotes endothelial proliferation, migration and tube formation through MEK/ERK signaling pathway.
NAPA	70	9606.ENSP00000263354	9606	Homo sapiens	NAPA	Alpha-soluble NSF attachment protein; Required for vesicular transport between the endoplasmic reticulum and the Golgi apparatus (Probable). Together with GNA12 promotes CDH5 localization to plasma membrane. Belongs to the SNAP family.
WARS1	71	9606.ENSP00000347495	9606	Homo sapiens	WARS1	Tryptophan--tRNA ligase, cytoplasmic; Isoform 1, isoform 2 and T1-TrpRS have aminoacylation activity while T2-TrpRS lacks it. Isoform 2, T1-TrpRS and T2-TrpRS possess angiostatic activity whereas isoform 1 lacks it. T2-TrpRS inhibits fluid shear stress-activated responses of endothelial cells. Regulates ERK, Akt, and eNOS activation pathways that are associated with angiogenesis, cytoskeletal reorganization and shear stress- responsive gene expression.
OLA1	72	9606.ENSP00000284719	9606	Homo sapiens	OLA1	Obg-like ATPase 1; Hydrolyzes ATP, and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP; Belongs to the TRAFAC class OBG-HflX-like GTPase superfamily. OBG GTPase family. YchF/OLA1 subfamily.
SLC25A3	73	9606.ENSP00000228318	9606	Homo sapiens	SLC25A3	Phosphate carrier protein, mitochondrial; Transport of phosphate groups from the cytosol to the mitochondrial matrix. Phosphate is cotransported with H(+). May play a role regulation of the mitochondrial permeability transition pore (mPTP).
ENO2	74	9606.ENSP00000437402	9606	Homo sapiens	ENO2	Gamma-enolase; Has neurotrophic and neuroprotective properties on a broad spectrum of central nervous system (CNS) neurons. Binds, in a calcium- dependent manner, to cultured neocortical neurons and promotes cell survival (By similarity).
