GeneSymbol	studyB_case01	studyB_case02	studyB_case03	studyB_case04	studyB_case05	studyB_case06	studyB_ctrl01	studyB_ctrl02	studyB_ctrl03	studyB_ctrl04	studyB_ctrl05	studyB_ctrl06	studyB_ctrl07
NFKBIA	11.0761	9.5255	8.9039	10.0875	10.2420	11.0566	8.4221	9.4009	10.1344	9.4094	9.7781	8.8734	9.0928
RELA	5.3576	6.1898	5.0875	4.5236	5.6147	5.2854	3.4594	3.9069	4.7004	3.9069	4.0875	3.1699	4.9069
TP53	7.8948	7.7616	7.1898	7.6294	8.2192	7.7279	7.4757	8.4512	6.9773	6.3576	8.3487	6.5850	7.7211
MDM2	4.2479	4.3923	3.8074	3.7004	NA	1.5850	3.0000	3.4594	4.0000	3.9069	NA	3.7004	4.8074
CDKN1A	7.1699	7.0553	6.7682	6.0661	7.1189	7.0661	5.9542	5.2095	6.6147	5.9542	5.5236	4.4594	5.4919
BAX	7.1699	7.3750	7.7415	8.4798	8.4959	7.6439	7.7944	8.9009	7.5469	6.6724	7.8642	7.9887	6.3038
BCL2	7.2095	6.6439	7.1293	NA	NA	6.7279	7.0000	7.2479	6.2668	7.7616	7.2761	7.5469	6.9307
CASP3	3.5850	4.8580	3.8074	2.0000	4.1699	4.4594	3.3219	3.8074	3.4594	3.0000	3.1699	3.7004	NA
CASP9	6.1898	4.2479	4.3923	4.3923	6.2288	4.3923	5.5546	4.5850	4.9069	3.7004	4.9542	5.2095	4.0000
PARP1	5.5236	6.1898	5.4594	6.1293	5.6724	5.8826	6.0224	6.5850	5.6439	6.9425	5.9542	5.5546	4.7004
ATM	3.3219	4.1699	4.8580	4.1699	4.3923	4.0875	4.8580	4.5236	4.8580	5.3219	4.3923	4.5850	3.7004
ATR	9.0954	10.4378	9.5981	7.9009	9.5831	8.7912	7.6221	8.2900	8.2288	8.0112	8.5584	8.5118	8.4878
BRCA1	2.0000	3.0000	3.9069	2.0000	3.7004	3.0000	4.0000	3.9069	2.8074	3.7004	4.2479	4.4594	4.5850
BRCA2	7.9658	8.1997	7.8765	8.0224	7.1189	7.5314	7.4094	6.0661	7.3576	6.2668	7.1599	6.3576	7.0000
RAD51	6.1699	6.8202	7.2668	7.4757	7.4009	7.0224	5.3576	4.5236	5.6439	5.9773	4.5850	5.0000	5.3923
XRCC1	6.8455	6.5392	6.1085	6.3576	5.8329	7.2192	7.0768	6.3038	5.1293	5.4263	5.2854	7.1085	5.5236
ERCC1	2.8074	3.0000	3.4594	4.1699	3.5850	3.0000	4.5850	4.3923	4.3219	4.5236	4.1699	5.9542	4.3219
MKI67	6.2854	6.7814	6.0444	6.2288	5.2854	6.4429	7.2095	6.2095	7.2384	7.6366	7.0553	6.4094	6.8704
PCNA	8.5118	9.0980	8.8455	9.7432	8.8009	6.7142	8.2432	9.2644	9.2668	8.9773	9.1472	8.3399	9.6036
CCND1	5.1293	6.6865	5.9307	5.5850	6.1898	5.7004	NA	5.0444	6.1293	4.1699	5.7004	4.2479	3.8074
CCNE1	9.3287	9.9958	9.6036	9.1699	8.8234	9.8948	8.9366	10.1874	9.2854	9.0417	9.1674	9.0901	9.7313
CDK2	7.7482	9.0848	8.8948	9.4939	9.3197	9.5411	9.0307	9.9322	9.1849	9.3772	9.3531	8.9009	8.3750
CDK4	5.9307	NA	4.9542	5.0444	5.5546	5.3219	3.0000	5.3576	3.8074	3.7004	5.7814	5.1293	5.3219
CDK6	3.1699	3.1699	3.0000	3.8074	3.5850	3.4594	3.3219	3.4594	2.3219	1.0000	3.8074	3.5850	3.9069
RB1	9.3772	9.2408	8.1749	8.0928	8.4717	9.3597	9.0768	8.6475	NA	8.6511	8.4594	8.3399	9.2738
E2F1	1.0000	2.8074	2.8074	3.8074	1.0000	0.0000	4.5850	3.1699	3.7004	3.9069	4.5236	3.0000	3.1699
MYC	7.6935	7.4998	7.2668	6.9189	7.0980	6.3038	6.5999	6.3750	6.8202	7.0875	7.6511	7.0875	5.8826
MAX	5.6147	6.2288	6.0000	7.0553	6.7944	7.2479	6.1898	5.6147	5.8580	5.5236	5.9307	6.6582	3.9069
JUN	5.8580	4.3923	5.0875	5.9307	5.7549	6.9887	6.3576	5.6147	5.7004	6.1898	4.8074	5.7549	6.1497
FOS	7.9425	7.8517	NA	8.3794	8.4305	8.9887	8.8826	8.0498	9.4200	8.2192	9.3707	8.5038	7.7748
EGR1	5.0444	5.6724	4.7549	4.7549	4.0000	4.9069	3.0000	5.4919	5.5236	4.0000	4.0875	5.6439	3.8074
ATF3	7.7549	7.6439	7.7616	7.9069	7.3399	6.4094	7.2288	6.9307	7.5699	NA	6.9425	7.2288	7.9944
STAT1	6.3399	5.5236	5.3576	5.5546	5.7549	6.3399	6.2668	5.8580	6.6582	6.8202	5.8580	5.1699	5.7549
STAT3	6.6439	7.0875	6.6724	5.8329	5.9542	6.3038	7.8265	6.3038	6.8580	7.2384	5.5850	6.6865	5.5546
STAT5A	4.3923	5.2479	5.6439	5.1293	5.6439	6.1085	5.8580	4.5236	4.5236	6.1497	6.1699	6.3219	4.7004
JAK1	4.5236	4.8580	5.1699	5.4919	5.2854	5.6439	5.0000	5.5546	5.1293	6.4429	5.9069	5.8580	4.4594
JAK2	6.8948	6.5546	7.2192	8.1497	6.4263	6.8202	7.7279	7.4094	6.6582	6.8580	6.7944	6.5392	7.7879
SOCS1	6.2095	6.2479	5.0875	6.1497	6.0444	5.8580	5.8580	6.1497	5.0000	NA	6.2095	4.8580	5.4263
SOCS3	5.4263	5.2095	5.5546	6.7004	4.9069	4.9069	4.3923	5.2479	5.4263	6.1293	5.4263	5.2479	5.3576
IRF1	7.6366	6.7549	6.1497	7.8517	6.5546	7.6795	7.5469	7.7074	7.5392	7.3399	7.3219	7.1085	8.0000
SYNTH0001	7.0661	7.6147	7.6865	7.2668	7.6935	7.4998	6.9887	7.1997	7.5314	6.8704	6.4919	7.6294	7.3663
SYNTH0002	9.2360	8.4512	9.9801	9.1749	8.3880	8.2527	9.0661	8.1447	8.9009	8.5196	8.9915	9.6724	9.2167
SYNTH0003	5.4919	4.3219	3.3219	4.9542	4.3923	4.6439	5.8580	3.4594	4.6439	5.5546	4.4594	4.7549	4.0875
SYNTH0004	8.2479	8.6582	7.7879	8.9129	8.0112	9.0279	8.2574	8.3576	8.5622	7.9542	7.2192	8.5812	8.3750
SYNTH0005	5.1293	5.3923	6.2095	6.3038	5.3923	5.3576	5.0444	6.1085	6.2288	5.8074	5.3923	5.9542	5.7004
SYNTH0006	NA	4.0000	4.6439	NA	4.5850	4.0875	3.9069	4.0875	3.4594	3.9069	4.5850	3.9069	3.9069
SYNTH0007	8.6366	6.7814	7.5850	6.5546	6.9658	7.2854	8.2715	8.8978	7.9189	8.2574	9.1421	7.6795	9.2456
SYNTH0008	2.8074	3.5850	3.9069	3.7004	3.4594	NA	5.3219	1.5850	4.7004	4.8074	3.7004	4.3219	4.3923
SYNTH0009	4.2479	NA	5.1293	3.5850	2.3219	3.5850	4.2479	3.9069	3.8074	3.0000	3.4594	5.0000	3.5850
SYNTH0010	9.1824	9.3242	9.5469	9.3197	8.9307	8.4388	9.4533	8.6511	8.3923	7.9658	8.4263	8.4136	9.6546
SYNTH0011	5.3576	5.5546	3.7004	4.7549	4.6439	5.1293	3.3219	3.4594	3.4594	3.0000	3.4594	4.7549	2.8074
SYNTH0012	4.0000	3.0000	2.0000	4.5850	3.8074	3.5850	4.7549	3.7004	4.8074	5.0875	5.3576	3.3219	3.4594
SYNTH0013	5.1293	5.1293	2.0000	4.3219	4.7549	4.1699	4.1699	4.7004	4.7549	4.0000	3.4594	5.3219	5.7279
SYNTH0014	5.2095	5.8074	6.4263	6.2479	6.0661	6.2854	5.3923	6.1699	5.4594	6.0000	4.6439	6.4757	6.2854
SYNTH0015	4.8074	5.0000	5.1293	5.0875	5.1293	4.7549	5.4594	4.9069	5.4919	5.2854	5.0000	NA	5.3219
SYNTH0016	3.4594	3.4594	1.0000	3.4594	4.3219	3.0000	4.5236	4.1699	3.5850	3.4594	4.0875	4.3219	2.5850
SYNTH0017	3.8074	4.7004	3.4594	4.7004	4.5236	3.5850	3.3219	2.5850	NA	3.8074	3.5850	3.8074	4.4594
SYNTH0018	9.0471	8.5622	8.9887	9.0553	9.1824	8.4263	8.9484	9.9366	9.3332	8.2621	8.8041	8.7279	8.2992
SYNTH0019	2.3219	2.3219	2.3219	3.0000	3.8074	2.5850	3.4594	4.4594	3.7004	3.3219	2.8074	3.7004	4.3923
SYNTH0020	3.7004	NA	4.7549	3.3219	5.0000	6.1898	4.3923	4.5236	5.3923	5.5236	5.9307	5.0000	5.3219
SYNTH0021	5.7549	6.0000	6.9425	5.2479	6.1898	5.4263	4.1699	5.9773	4.5236	5.2479	5.9542	6.2668	5.8074
SYNTH0022	8.3264	9.1447	8.8041	8.9248	8.7004	7.5850	9.2621	8.3619	7.7748	8.3750	8.3264	7.9542	7.8138
SYNTH0023	7.2479	5.5236	8.2240	7.6582	7.6221	7.4757	7.7682	8.6689	6.9887	7.4757	7.2479	8.2095	7.2095
SYNTH0024	4.3219	6.0444	5.9307	5.8826	5.5546	6.4757	6.4429	5.5850	6.8074	6.3576	6.1085	6.8202	6.6724
SYNTH0025	6.5699	6.2668	6.3399	5.4263	6.0224	5.9069	5.0000	4.0000	6.0000	5.8074	4.5236	6.0224	5.1699
SYNTH0026	8.5736	6.1293	6.9069	7.0553	6.5850	5.9307	6.3399	8.3219	6.3923	7.6653	6.3038	7.1799	7.2946
SYNTH0027	6.6724	6.7004	6.4919	5.2095	7.1293	5.9069	5.9773	6.3038	5.1699	6.6439	6.0875	6.6582	6.8202
SYNTH0028	7.2574	7.0553	8.0000	6.6724	6.6439	6.6582	7.4838	7.2946	6.7415	7.9366	6.7004	7.1085	6.0444
SYNTH0029	4.1699	4.8580	4.0875	5.7549	4.3923	5.4263	5.1293	4.8580	5.0875	4.3923	4.6439	4.0875	4.0875
SYNTH0030	2.5850	4.6439	4.8074	3.5850	4.1699	4.3219	4.5850	5.1293	3.4594	3.1699	4.0875	5.1293	4.0000
SYNTH0031	3.1699	4.6439	3.1699	3.9069	3.1699	4.8074	4.2479	3.7004	4.6439	4.4594	4.3923	3.8074	5.1293
SYNTH0032	5.0444	3.7004	5.0000	4.2479	2.8074	4.8074	4.6439	4.7549	4.5236	4.1699	5.0000	4.1699	4.7549
SYNTH0033	4.2479	4.0000	4.6439	4.9542	4.5850	5.2479	4.8580	4.3923	5.7814	3.4594	4.3923	4.8074	4.7004
SYNTH0034	1.5850	2.3219	4.4594	4.0000	4.9069	3.3219	4.0000	4.0000	3.8074	3.0000	3.7004	2.0000	3.1699
SYNTH0035	6.9069	6.2668	6.5999	6.3750	7.0224	7.6653	6.9658	8.5430	8.5275	8.1497	8.1849	8.3309	8.9396
SYNTH0036	3.3219	4.0875	5.0000	3.3219	3.5850	4.0875	3.3219	4.3923	4.0000	2.3219	4.1699	3.7004	1.0000
SYNTH0037	5.7549	5.9069	4.2479	5.1293	5.7279	5.0000	5.5236	5.8329	5.9307	5.7814	4.0875	6.4094	5.8329
SYNTH0038	6.3219	5.3576	5.8074	5.9307	5.9542	6.2288	6.3399	6.8580	6.3576	6.9773	5.6147	5.1699	4.8074
SYNTH0039	8.9069	9.5641	8.4471	8.0875	8.3966	9.0661	9.0580	8.4471	8.7515	9.8250	9.8796	8.5157	9.2336
SYNTH0040	6.3923	6.2095	6.1293	5.6439	6.6582	6.6294	7.0224	7.4429	6.6294	6.4594	6.8455	5.6439	6.0000
SYNTH0041	8.2715	8.1396	8.8009	NA	8.4998	7.8074	8.1189	7.4998	7.2192	8.1997	8.4838	7.5157	7.4838
SYNTH0042	6.0444	7.1396	4.2479	5.5546	6.3576	5.3576	6.2854	5.7004	5.9307	6.8948	6.3399	7.3399	6.9658
SYNTH0043	6.7004	5.8074	4.5236	4.5850	5.3576	6.5078	5.7004	6.4757	6.2854	6.4263	4.2479	5.3219	6.4757
SYNTH0044	4.6439	4.0000	4.7004	4.2479	4.2479	3.7004	5.2095	4.7004	5.0000	3.3219	4.5236	2.5850	4.7004
SYNTH0045	8.3750	6.8202	8.1548	7.6795	7.3399	6.7944	6.2854	6.2479	6.0661	7.2192	5.1699	5.5236	7.0000
SYNTH0046	8.5157	7.4512	7.1599	7.4757	7.7682	8.3663	7.1699	8.0056	7.6439	9.0168	8.1749	8.8392	7.1497
SYNTH0047	8.7347	7.9542	9.2046	9.5118	10.1137	9.1007	7.7415	7.2761	7.0768	7.1189	7.7279	7.2095	7.9248
SYNTH0048	4.0875	3.4594	4.2479	3.3219	4.7549	4.8074	3.8074	2.3219	3.1699	3.5850	4.3219	4.8580	4.3219
SYNTH0049	6.4429	6.3576	4.0875	6.4094	6.1898	5.9542	5.9773	5.3219	5.6724	5.9069	5.4919	5.5236	5.4919
SYNTH0050	6.5236	7.1396	6.6439	7.6147	7.2288	6.9307	6.7944	7.8392	7.3219	6.5850	7.3129	7.1396	7.5774
SYNTH0051	7.9944	8.4998	9.2877	9.0389	8.3354	8.8580	8.6184	8.8297	9.7616	8.7748	8.9278	9.4136	8.1241
SYNTH0052	8.8041	9.1624	8.1849	9.0251	9.7091	9.5392	9.0389	9.7715	9.6671	8.9425	8.9248	9.2046	8.4635
SYNTH0053	5.3219	5.1699	4.0000	6.6147	4.9542	5.8826	5.6147	5.3219	5.6147	5.7004	6.4757	6.1497	5.2095
SYNTH0054	8.7482	9.0875	10.0293	9.6777	10.4083	9.6165	10.0154	10.1997	8.4512	9.2216	9.6564	8.8918	9.3015
SYNTH0055	3.7004	5.6439	5.0444	5.0875	5.0444	4.1699	6.4594	7.3923	5.8826	5.6439	6.0661	5.6724	5.9773
SYNTH0056	8.3794	9.1849	8.2854	9.1293	9.0553	7.8392	8.5622	9.1085	8.4221	8.9513	9.0661	7.4094	7.4757
SYNTH0057	7.1497	7.5236	6.3923	7.9189	7.7074	7.6511	7.8948	NA	6.8580	NA	8.1189	7.7211	6.9069
SYNTH0058	4.2479	5.2854	4.2479	4.8580	3.1699	5.0875	4.8580	4.2479	4.7549	5.4263	5.3576	4.6439	4.5850
SYNTH0059	7.7004	8.1849	7.2479	7.9425	8.2761	8.0389	7.3129	7.6366	7.8517	7.4346	7.9887	8.6036	8.0334
SYNTH0060	7.5925	7.5774	8.6935	7.7347	7.7074	8.0715	7.0334	8.1799	7.6511	8.2900	6.7142	6.6724	5.7814
SYNTH0061	9.6294	8.7814	9.0980	8.1749	9.3332	8.8106	7.8765	8.5157	8.8009	8.0389	8.5118	9.0580	8.7814
SYNTH0062	5.9307	5.6724	7.2095	6.3399	5.2479	5.6147	5.4263	4.8580	6.4429	5.4263	4.3219	5.6439	6.0444
SYNTH0063	3.7004	3.1699	3.4594	4.1699	3.0000	3.8074	3.8074	2.0000	2.8074	4.6439	4.1699	4.3219	3.3219
SYNTH0064	6.3750	5.9542	6.7549	NA	5.9069	6.9542	5.4919	6.1497	6.5699	6.4263	6.3038	6.1699	6.1085
SYNTH0065	6.2854	5.9069	5.5546	4.8074	5.2854	5.9069	6.0875	5.3576	5.0875	6.3399	5.1699	6.6865	6.6439
SYNTH0066	5.1293	3.3219	4.2479	5.0875	5.9069	3.5850	5.0875	5.3923	5.4919	4.8580	4.9069	4.9069	4.4594
SYNTH0067	2.8074	4.9069	3.7004	5.4263	4.8580	5.2479	2.8074	2.3219	2.8074	4.1699	4.0875	3.7004	2.8074
SYNTH0068	7.9307	8.3174	7.6795	7.2095	6.7279	8.0821	7.0000	8.3264	7.4179	7.4094	7.7748	6.7004	7.1699
SYNTH0069	6.8826	5.4594	5.4919	5.7004	6.5078	6.2668	6.5546	5.0444	5.3923	5.9069	7.1599	5.8826	5.8580
SYNTH0070	8.0821	8.9830	7.7415	7.7549	8.0875	7.6935	8.5353	9.0196	8.7582	7.9658	8.4263	8.4553	7.4838
SYNTH0071	5.0000	3.5850	4.5850	3.8074	4.4594	5.0000	4.9542	3.4594	4.9542	4.8580	3.1699	5.0875	4.3923
SYNTH0072	7.2095	8.4838	7.6653	7.9307	6.5236	6.7549	9.0279	7.9773	8.4305	7.2761	7.7004	6.7814	8.2946
SYNTH0073	7.1898	7.1497	5.7279	6.5546	6.7944	7.0000	6.3399	7.1599	6.6865	7.0224	4.9069	5.5236	6.2668
SYNTH0074	7.0112	7.5622	8.3129	7.1085	8.0334	7.6147	7.8265	7.2946	7.4512	7.7415	7.0768	6.7682	7.7074
SYNTH0075	6.9542	8.2808	5.7549	7.0000	7.4094	8.3531	6.8580	7.3309	8.1241	7.8329	7.1396	8.0607	5.7004
SYNTH0076	7.7142	7.0768	5.6439	7.0112	7.4346	6.9069	6.5392	7.1599	6.6147	6.1497	5.5236	4.9069	7.0000
SYNTH0077	7.6294	7.3399	8.3966	7.1293	6.3219	7.5546	8.7381	8.9773	7.7944	7.9542	9.5622	6.4594	9.0196
SYNTH0078	5.0444	4.0875	4.5850	5.4263	4.7549	3.0000	5.8329	4.3219	4.9542	5.3219	4.5236	5.8329	5.1293
SYNTH0079	6.7549	6.7279	7.2574	6.7944	7.1085	6.7814	7.8642	7.3487	7.0000	7.9009	7.7347	7.5850	8.0444
SYNTH0080	9.0168	8.6073	9.1573	9.3837	9.5812	8.8611	10.1163	8.1447	8.9484	9.3174	9.4959	9.1874	9.1548
SYNTH0081	9.5565	9.0196	8.6475	9.0389	9.3287	9.3399	9.4838	8.8138	8.2668	8.6970	9.0196	9.0056	9.5906
SYNTH0082	3.8074	4.0875	1.0000	2.3219	2.3219	3.4594	2.3219	4.2479	3.7004	3.3219	NA	3.3219	2.5850
SYNTH0083	7.0661	5.2095	7.8202	6.4919	7.0661	6.6439	7.6724	7.6366	8.3129	7.3038	9.3597	8.0980	7.5774
SYNTH0084	8.9600	7.3487	8.1898	8.8486	7.5314	7.8074	8.4757	7.9715	8.7912	9.0000	8.3794	NA	7.5774
SYNTH0085	8.4346	8.9658	8.2192	8.6330	8.3354	8.3619	7.3923	8.5430	7.3837	9.5488	8.2527	8.4717	9.3531
SYNTH0086	6.2479	6.3038	5.1699	5.4263	7.0444	5.5236	5.1699	5.2854	6.7682	6.7549	6.3219	5.8074	5.3219
SYNTH0087	5.2095	3.4594	5.4594	5.5850	5.5236	4.8074	5.4594	5.5546	4.0000	4.9069	4.0000	4.3923	4.5236
SYNTH0088	8.9773	8.9366	9.8734	9.0553	9.5999	9.2738	8.4263	7.7814	8.3219	5.7004	7.9248	7.9189	8.0112
SYNTH0089	7.7616	7.6294	6.6294	7.9009	7.0444	7.2095	7.5078	7.2854	6.2479	7.7279	7.5078	8.0607	6.8704
SYNTH0090	5.8329	6.0224	5.6724	6.0661	5.4919	5.9069	5.4263	5.1293	4.9542	6.0224	5.2479	5.4594	5.0875
SYNTH0091	7.7814	8.1497	7.8580	7.1293	7.7347	7.9542	7.8704	6.7814	7.2192	7.2668	7.0768	7.4179	7.3219
