GeneSymbol	studyA_case01	studyA_case02	studyA_case03	studyA_case04	studyA_case05	studyA_case06	studyA_case07	studyA_case08	studyA_ctrl01	studyA_ctrl02	studyA_ctrl03	studyA_ctrl04	studyA_ctrl05	studyA_ctrl06	studyA_ctrl07	studyA_ctrl08
HDAC1	6.0224	7.5314	6.5078	7.7944	6.0000	6.4594	6.9425	7.2574	6.1898	6.7415	5.5850	7.8009	7.0661	6.1898	7.7482	7.9009
CREBBP	5.0444	5.0444	4.3219	5.3576	4.9542	4.8074	5.3219	4.8580	4.8074	4.0875	4.3923	3.3219	4.7549	5.4263	6.0000	5.6724
NFKB1	3.4594	3.3219	2.0000	2.5850	3.1699	3.0000	2.5850	3.4594	4.0875	4.4594	3.8074	3.1699	2.5850	2.8074	1.0000	2.3219
KAT2B	5.8074	7.5774	7.2095	7.1799	6.9542	6.0875	6.7415	5.9542	5.5850	4.3219	6.4594	5.0875	6.0224	3.5850	4.4594	5.0000
SP1	8.3309	6.9307	7.6366	6.8455	7.5236	7.1189	7.0000	6.7004	5.7279	6.3576	6.7814	7.4998	7.1699	7.9248	8.1599	6.5078
IKBKB	6.5999	8.0498	6.9069	7.3663	7.3837	6.7279	6.6865	6.3923	7.1699	NA	6.2479	6.2095	7.8138	6.8455	7.5314	7.2854
ITGB5	8.2143	8.3619	8.3619	7.9830	6.9658	7.2668	7.7549	7.7549	5.7549	6.2288	8.3663	7.8765	7.5078	8.1447	6.3219	7.7347
ITGB8	9.0471	8.6795	9.0056	8.6689	7.9715	8.2900	8.2808	8.3837	9.5430	8.8887	8.1898	8.6724	9.2240	7.6795	8.9278	9.0307
YY1	3.5850	3.7004	3.7004	4.2479	3.9069	3.4594	2.5850	4.7004	4.5850	3.0000	3.4594	2.3219	4.2479	3.5850	4.8580	3.3219
HDAC4	8.1189	7.2668	5.7814	7.1189	7.9600	7.1293	5.7814	7.7004	6.4919	6.9542	4.3219	5.5546	7.0875	8.4179	6.6724	8.1799
GSN	7.2095	6.5546	6.7944	4.1699	6.9887	6.4594	5.3219	6.8202	7.2095	5.9307	7.1898	5.6439	7.0334	7.5850	6.8826	6.7279
ITGA6	3.8074	4.2479	3.0000	3.9069	3.3219	3.5850	3.0000	3.3219	3.8074	3.0000	3.5850	2.5850	2.3219	3.4594	3.9069	NA
YAP1	6.5392	6.6582	6.5078	7.0661	5.1293	6.3923	6.1497	6.1497	6.9069	6.0875	6.6865	5.9307	7.5157	6.5546	5.8074	6.2854
FLNB	6.8202	7.0112	6.7944	7.4429	5.8826	6.4263	7.5157	6.6439	6.1699	6.6724	6.8704	6.9542	6.9658	6.8704	7.8009	7.6366
EZR	3.4594	3.7004	4.0000	4.3219	3.7004	2.0000	4.3219	3.1699	3.8074	3.3219	2.0000	3.4594	3.4594	4.0000	4.6439	NA
APP	5.3219	3.7004	5.6439	4.7004	4.9069	4.4594	4.5850	5.6724	4.7549	5.8074	4.8074	4.5850	5.0444	4.3219	4.2479	5.4594
MAPT	6.7415	7.4594	6.5236	6.9773	8.2668	8.2240	7.5236	7.2854	6.8455	7.4594	7.5392	7.8265	7.8826	6.5236	6.2288	6.9887
PSEN1	3.5850	4.1699	3.7004	NA	2.3219	1.0000	3.5850	4.1699	4.8074	4.8074	2.8074	4.4594	4.1699	3.3219	2.5850	4.2479
PSEN2	7.4179	7.3487	7.1396	6.8455	7.2384	6.6865	6.4263	7.3038	6.2479	7.4594	6.8074	5.9773	7.2384	6.0875	6.2288	7.3399
ACTB	7.7211	7.4512	8.6546	7.9248	6.9542	8.3174	7.4179	8.6795	8.3966	7.2946	7.7482	7.9069	7.8009	8.2479	8.0980	7.7074
GAPDH	4.1699	4.5236	2.5850	3.3219	2.3219	3.3219	1.0000	NA	4.3923	3.7004	3.5850	3.4594	3.9069	3.7004	3.8074	4.3923
TUBB	3.4594	3.4594	3.3219	3.5850	3.0000	4.6439	3.7004	3.5850	3.0000	4.3219	4.5236	4.5850	3.7004	4.3219	3.4594	4.4594
SDHA	4.5850	4.6439	4.9069	4.7004	4.8580	3.3219	5.0444	5.3219	4.0000	3.8074	4.8074	4.2479	4.0875	4.3923	4.2479	3.0000
CALM1	1.5850	3.3219	3.8074	4.5236	3.0000	2.8074	3.7004	4.0875	3.1699	3.9069	3.5850	4.5236	3.0000	3.3219	3.4594	3.0000
CALM2	6.3038	NA	3.8074	4.8074	5.6147	5.5236	NA	6.0661	5.5850	5.9307	6.3750	6.0875	5.9542	5.2854	4.9542	6.2095
CALM3	4.8074	4.3923	4.6439	3.9069	4.4594	4.6439	4.4594	3.7004	4.7004	2.5850	4.0000	3.4594	3.9069	2.3219	3.8074	5.3923
ATP1A1	5.8074	5.2854	5.0000	6.2854	6.1497	5.6147	6.4429	6.6294	4.3923	5.4263	4.4594	4.0875	5.9069	5.4919	5.0875	5.5546
ATP1A2	7.9773	7.4009	7.1189	6.1898	8.7748	8.7142	7.2192	8.0112	7.5236	8.2384	NA	8.5430	7.5546	8.5661	6.3038	8.3038
ATP1A3	6.1497	5.7814	6.8704	6.3750	6.4429	5.7279	5.4919	5.4919	5.7279	5.9773	5.5546	6.4594	5.9069	6.4429	6.5699	5.6147
ATP2B1	3.9069	3.3219	4.8074	4.4594	3.1699	5.0875	4.0875	3.9069	4.3219	3.7004	4.9069	2.5850	3.4594	3.7004	4.7004	3.3219
ATP2B2	3.5850	5.1293	4.3219	3.5850	3.3219	3.1699	4.7004	4.1699	4.9069	4.4594	3.9069	3.5850	3.7004	2.8074	3.7004	4.7549
SYN1	7.5546	7.5157	7.9189	7.9069	7.4512	7.7682	8.0444	7.3663	7.0444	NA	7.8392	6.7682	8.2527	8.1849	7.9600	8.6795
SYN2	3.5850	2.5850	2.0000	NA	3.1699	3.9069	3.8074	4.0000	3.9069	3.9069	1.5850	3.3219	3.9069	NA	1.5850	3.1699
SYP	4.9069	4.0000	4.5236	4.8580	3.5850	4.0000	2.3219	3.7004	3.9069	4.3923	2.5850	4.6439	2.3219	2.5850	4.3923	4.9542
SYT1	8.9454	8.0112	8.4221	8.7616	7.9830	8.4263	9.0196	9.1948	8.0112	8.6221	8.3399	9.6294	8.9039	7.8580	8.6073	7.5925
NEFL	6.9189	5.7549	6.5699	7.0875	6.5546	6.9189	6.7814	7.1396	6.5392	5.9069	4.9069	7.3923	6.2854	5.9307	5.8580	5.4919
NEFM	7.4512	8.1189	7.5546	6.6724	8.4594	7.0224	7.3219	7.4094	8.8329	8.0928	7.1997	8.0334	7.8826	9.0084	8.5314	7.2668
NEFH	6.3923	6.0875	4.9069	6.4919	5.9542	5.3923	5.9307	6.1699	6.0661	6.5999	4.5236	5.8580	6.1898	6.5546	6.7142	5.8826
GFAP	1.0000	3.0000	2.5850	3.7004	3.1699	4.0875	3.1699	2.3219	3.5850	0.0000	3.4594	2.8074	2.3219	3.0000	3.1699	3.1699
AIF1	3.4594	3.7004	4.2479	3.5850	2.3219	2.3219	4.4594	2.0000	4.3923	2.5850	2.3219	3.8074	3.5850	2.0000	2.8074	4.2479
CD68	4.9542	4.8580	4.7004	3.0000	5.1293	5.0000	5.0444	6.0000	5.6724	6.0224	3.5850	3.4594	3.9069	4.7549	5.0444	5.4594
TNF	5.4594	5.3923	5.6439	6.0444	6.0000	5.4919	5.4594	5.9069	6.1293	6.8704	5.9307	7.6073	7.7142	5.9542	6.6439	6.3750
IL1B	8.7649	8.8170	8.7814	9.1007	8.5736	8.1497	9.2877	7.8704	8.5118	7.7279	9.0607	9.0901	7.6073	8.0607	7.8392	7.8138
IL6	8.9366	7.9773	9.5925	9.0688	8.3576	8.1997	8.5392	8.1137	7.8948	8.5236	8.9307	8.1447	8.3880	9.6129	8.0334	8.2946
CXCL8	7.6294	8.5469	7.5392	7.5236	7.7415	7.6221	5.2854	7.0000	7.7279	7.1699	8.6511	6.2854	7.5546	7.6935	8.5887	7.1699
CCL2	8.9189	7.2946	8.6582	9.0795	NA	7.9366	9.5868	8.5850	8.8455	8.6900	8.4594	8.0928	8.2527	8.4221	9.8978	9.1972
NFKBIA	9.8218	10.0471	9.7879	10.4533	9.0196	9.4898	9.2503	10.3026	8.3663	9.0444	9.6366	8.1898	8.5314	9.2503	8.1241	8.8765
RELA	4.9542	4.7549	4.1699	4.0875	5.0444	4.0875	4.3219	4.6439	4.0875	2.8074	4.0000	4.3923	3.7004	2.0000	3.1699	3.3219
TP53	7.6073	7.5469	7.4594	6.5699	7.0334	7.8887	7.7879	7.2384	7.0000	7.3129	7.2095	7.7004	7.9600	6.0875	6.6439	6.3219
MDM2	3.4594	4.3923	1.5850	3.9069	3.7004	1.0000	2.5850	2.0000	3.5850	2.8074	2.3219	3.4594	3.7004	3.0000	3.7004	3.8074
CDKN1A	6.3923	5.4919	5.6724	5.7549	5.6147	6.7142	6.4094	6.8580	5.8329	4.9069	4.7549	4.0000	5.8580	4.0875	4.8580	5.3219
BAX	7.6865	7.6935	8.0768	7.7944	7.6073	6.9542	7.2095	6.7944	8.3129	5.9773	7.4346	7.6511	6.8948	5.5850	6.8074	6.2668
BCL2	6.4094	6.5078	6.9887	6.1898	6.9425	7.0112	5.7004	7.3219	6.3750	7.0768	5.8329	6.1699	6.9189	7.3663	6.1293	6.4429
CASP3	3.9069	3.9069	3.4594	2.5850	3.4594	3.1699	3.8074	2.0000	3.4594	4.9069	3.9069	3.4594	3.0000	3.7004	2.8074	3.3219
CASP9	4.2479	4.3219	5.3923	4.8580	5.5546	5.0000	4.0000	5.0000	4.3219	4.4594	4.1699	5.5236	4.2479	5.3923	5.3576	3.7004
PARP1	4.7549	5.6724	6.1898	4.9542	4.9069	5.2095	5.1293	4.8074	6.0000	6.5546	5.8074	5.7004	4.7004	5.6724	6.4594	5.4263
ATM	3.0000	3.4594	3.1699	3.0000	2.5850	3.1699	3.9069	1.5850	3.1699	3.5850	3.4594	4.0875	3.1699	2.5850	3.4594	3.5850
ATR	9.0607	8.1649	7.9425	9.8826	9.7549	8.8455	7.8580	6.7142	8.1085	8.1997	7.5622	8.1799	7.4429	8.0821	7.8765	8.0279
BRCA1	2.5850	2.5850	3.3219	2.3219	2.5850	2.3219	2.3219	3.5850	3.4594	2.0000	3.1699	2.3219	1.0000	1.5850	3.1699	2.0000
BRCA2	7.3309	7.6653	7.3038	6.8329	7.8329	7.2192	7.8642	7.0334	6.6294	6.2095	5.0875	5.3576	5.5236	5.5850	6.1293	6.5236
RAD51	5.9307	5.8826	5.4263	5.0875	6.0444	6.3038	6.0000	6.2479	4.5236	4.0000	5.2479	4.2479	4.5850	5.0875	4.7004	4.2479
XRCC1	5.6439	6.5546	6.2288	5.9307	4.6439	5.8329	6.5392	6.5546	6.1293	5.5850	5.9069	6.3750	5.7814	6.0661	5.8329	5.3923
ERCC1	1.5850	2.8074	2.0000	2.8074	2.0000	3.0000	2.0000	2.5850	4.7004	4.2479	4.0000	4.7549	5.2854	4.0875	4.3219	3.4594
MKI67	4.8580	5.2095	5.5546	5.4594	4.3219	5.7814	4.9069	4.8580	6.3038	7.0661	4.9542	7.0224	6.2095	7.0000	6.7549	6.7944
PCNA	7.6724	7.9069	7.9773	8.4009	7.7482	8.1137	8.4717	9.2288	8.5430	8.2946	9.1137	9.3987	8.8202	7.9189	8.4998	9.0251
CCND1	4.9069	6.0000	5.1293	5.7279	5.5546	4.9542	3.7004	5.2095	3.8074	2.5850	4.7004	3.1699	2.5850	3.4594	3.5850	3.9069
CCNE1	9.1472	9.1674	8.2192	9.2761	8.8074	8.8041	9.3837	9.1241	8.4757	8.7682	8.9801	9.2264	8.9009	8.8978	8.6689	9.6795
CDK2	9.0901	8.5275	8.9687	8.8580	9.8122	8.1189	7.8202	9.4450	9.3309	8.5736	9.3129	8.4136	8.2992	8.1799	8.0821	8.1396
CDK4	4.4594	4.9069	4.8580	4.1699	4.7004	4.3219	4.0875	4.7004	3.7004	4.0000	5.0000	4.3219	4.0000	4.3219	4.3923	3.5850
CDK6	2.0000	2.3219	3.0000	3.8074	2.3219	3.1699	3.8074	2.3219	3.1699	3.0000	2.8074	2.5850	2.5850	2.0000	1.5850	2.0000
RB1	NA	7.5236	8.3174	8.4838	6.7549	6.9658	8.2143	7.7004	7.4676	9.0000	7.2384	7.2288	8.2621	7.9658	7.4009	8.6439
E2F1	2.3219	0.0000	1.0000	2.0000	2.0000	2.0000	2.0000	1.0000	2.5850	1.0000	2.3219	3.8074	2.8074	3.5850	1.0000	0.0000
MYC	5.4263	6.5850	5.3923	6.2668	7.1997	5.1293	6.2668	6.8329	5.1699	5.6147	5.7004	7.3923	5.8074	6.5699	6.0000	6.8202
MAX	5.4263	6.5392	5.9069	5.4919	6.1699	6.0444	6.1085	5.8580	6.3219	5.7279	5.5236	5.9773	6.0875	6.1497	5.9773	5.3576
JUN	4.8580	5.4263	4.5236	4.5850	6.0661	5.3219	5.1293	5.3923	5.4594	4.9069	5.2479	5.0000	4.9069	6.2668	5.5236	5.3576
FOS	7.8074	8.0112	8.0553	7.9009	7.1898	7.6653	8.8765	7.9009	8.0607	8.3443	8.2992	7.0444	8.1599	7.2288	7.7482	7.6294
EGR1	2.5850	4.4594	4.7004	3.1699	4.6439	4.4594	4.0000	4.5236	5.2095	3.3219	4.5850	4.1699	4.0000	3.1699	5.1699	5.2854
ATF3	7.1293	6.7415	5.8329	8.1898	7.1997	6.2095	7.1898	7.5699	7.0334	6.5392	7.5699	6.2854	7.4094	7.3399	6.7004	7.2761
STAT1	5.4263	5.6147	5.1293	5.4263	5.8074	5.0444	5.7549	3.8074	4.9542	4.8580	5.4594	5.9307	6.3038	5.3576	4.4594	5.6724
STAT3	4.9542	4.3219	6.6294	6.3923	5.8580	5.1699	5.9069	6.5699	6.0000	5.7814	6.4429	6.2668	5.1293	5.5236	5.2854	5.4263
STAT5A	4.9542	4.7004	4.3219	5.6724	4.8580	4.2479	3.9069	4.8074	5.0000	4.9542	4.3923	4.0875	5.2854	4.4594	4.7549	4.0875
JAK1	1.0000	5.5236	3.8074	4.7549	4.7004	5.2095	4.2479	5.7004	3.1699	NA	4.4594	5.0000	4.7549	5.9542	4.4594	3.9069
JAK2	6.4919	6.2095	6.9887	5.9542	5.9307	4.9069	5.3219	7.3923	6.7004	6.7944	7.2095	4.3219	6.0875	6.5546	6.6439	6.7415
SOCS1	6.2095	3.7004	5.4919	5.4263	4.6439	5.0444	3.7004	5.0875	6.0224	5.2095	4.1699	6.0444	4.2479	5.6147	4.4594	6.2854
SOCS3	4.7004	3.0000	3.3219	5.0875	5.4919	4.0875	5.3576	3.9069	4.4594	4.2479	4.9069	5.4263	4.9069	3.4594	5.2479	4.6439
IRF1	5.7279	7.0334	7.9944	6.4263	7.2384	6.8948	6.7549	7.4179	6.9425	NA	5.9307	7.2761	6.7415	7.5157	7.6294	7.1085
SYNTH0001	7.0112	7.8704	6.4429	6.4429	6.8948	6.7944	6.5850	7.2288	6.7549	6.8202	6.6439	6.8329	6.5850	7.2192	7.0334	7.2095
SYNTH0002	6.9189	9.2992	9.6511	8.4429	8.3083	9.3151	9.2312	8.1997	8.9307	8.5236	8.1344	8.5774	7.6865	7.4429	7.5699	8.3443
SYNTH0003	3.1699	3.9069	4.3923	3.0000	3.1699	3.5850	4.5850	4.3219	1.5850	3.5850	4.0875	4.4594	4.0000	3.7004	2.0000	3.9069
SYNTH0004	6.9887	7.4429	7.7549	7.7074	8.4998	6.2668	7.9484	7.5546	7.8948	7.9307	NA	7.4346	7.8455	8.2143	8.0444	6.9773
SYNTH0005	5.3923	5.0444	4.8074	4.5236	5.6724	4.1699	5.6147	5.6724	5.7549	5.8329	4.3219	4.8580	4.7004	4.6439	4.5850	4.9542
SYNTH0006	3.3219	3.4594	3.8074	4.3219	3.1699	2.8074	2.8074	3.1699	1.5850	3.0000	1.0000	3.0000	4.1699	3.5850	3.0000	3.0000
SYNTH0007	6.1085	5.3576	6.4094	6.1497	7.2761	6.3399	6.9189	6.7142	7.9944	8.0928	7.6935	7.7074	5.3923	7.7944	8.5038	6.3399
SYNTH0008	3.1699	2.5850	1.0000	3.0000	3.3219	3.4594	3.7004	2.5850	3.7004	2.3219	3.8074	2.5850	NA	3.0000	3.7004	3.3219
SYNTH0009	4.1699	2.5850	3.1699	1.5850	3.3219	2.8074	4.3923	4.1699	3.4594	4.3923	4.0000	3.3219	5.4263	2.0000	4.5850	2.3219
SYNTH0010	7.8642	8.1085	8.1189	8.1599	8.5078	8.4998	8.7142	8.6184	8.6036	6.9658	8.6036	8.5157	8.1293	7.9830	8.5850	8.4878
SYNTH0011	4.5850	3.4594	4.3219	3.7004	3.8074	4.4594	4.1699	3.8074	3.0000	2.0000	2.8074	2.8074	2.3219	2.0000	2.8074	4.0000
SYNTH0012	2.5850	3.4594	2.8074	2.0000	3.0000	3.5850	2.0000	2.8074	3.7004	3.0000	4.0875	4.1699	4.3219	2.3219	4.2479	3.1699
SYNTH0013	4.1699	4.8074	4.7549	4.3219	5.1699	3.3219	4.4594	4.5850	4.5236	4.4594	4.5850	5.0000	NA	4.9542	NA	2.8074
SYNTH0014	3.4594	4.9069	5.1293	4.1699	4.3219	4.7004	3.5850	4.4594	4.7004	5.0444	5.3576	4.7004	6.3038	5.2854	5.1699	6.2668
SYNTH0015	2.3219	3.3219	4.2479	3.0000	5.1293	5.3219	2.3219	4.5850	3.3219	5.3219	3.1699	3.3219	3.5850	4.1699	4.8580	5.3576
SYNTH0016	2.3219	3.0000	3.0000	2.3219	3.7004	2.5850	2.3219	2.0000	3.0000	3.1699	1.0000	3.5850	3.3219	3.8074	3.3219	2.0000
SYNTH0017	2.5850	4.0000	NA	3.8074	4.4594	3.8074	2.8074	2.3219	2.8074	3.0000	2.8074	4.0875	2.5850	3.1699	2.8074	3.3219
SYNTH0018	8.0768	8.6147	8.7912	9.0875	8.6036	8.2854	9.4919	8.9687	9.3531	8.7074	8.7649	8.9687	8.3750	NA	7.3923	9.1497
SYNTH0019	2.5850	3.0000	3.7004	3.1699	3.5850	2.5850	2.8074	3.5850	4.3923	2.0000	3.5850	3.1699	3.7004	3.3219	3.1699	3.5850
SYNTH0020	3.8074	4.2479	4.8580	4.5850	3.4594	4.5236	4.3219	4.3923	4.0000	4.7004	4.5236	3.9069	5.1293	4.9542	4.0875	4.3923
SYNTH0021	5.5850	4.3923	NA	5.1699	4.4594	4.8074	5.4919	4.8580	5.9773	4.7549	5.4594	5.5546	4.5850	4.8580	5.4919	5.9542
SYNTH0022	7.8642	7.7748	7.6724	7.0553	7.7211	7.9773	7.9542	8.3309	7.8948	8.7142	8.1293	8.2095	8.5118	9.1163	7.3576	7.7347
SYNTH0023	6.1293	6.6582	6.1898	7.8202	6.7004	7.1293	6.0661	8.0980	6.4757	5.8580	6.5999	6.9658	6.8074	6.6865	7.5157	5.8074
SYNTH0024	5.4594	4.9542	5.6147	5.5546	4.2479	5.1699	5.6724	4.3219	6.5850	4.2479	5.3219	3.0000	4.3219	5.3576	5.4263	6.2095
SYNTH0025	6.1085	5.8329	4.9069	5.8826	4.5236	5.2854	5.2479	6.6294	4.6439	5.6439	5.0000	4.5236	5.3219	4.3923	4.8580	4.6439
SYNTH0026	6.2288	6.2479	5.9307	4.5236	6.0224	7.1497	7.2574	5.1293	6.3576	6.4757	5.3219	6.3750	6.3923	6.7142	5.8329	6.7415
SYNTH0027	5.4263	5.4919	5.5850	5.3923	4.5236	4.6439	6.0224	6.2668	6.1293	5.2854	5.0000	5.9307	6.3923	5.3923	5.8580	5.2479
SYNTH0028	7.1599	6.8074	6.4594	6.9658	6.2854	6.5078	6.6865	7.3219	6.8948	6.4919	7.5546	7.1699	6.5236	7.3663	6.5999	6.9773
SYNTH0029	4.0875	3.5850	3.7004	4.1699	4.3923	4.0000	2.3219	4.1699	4.3923	4.6439	3.9069	3.4594	3.8074	3.9069	4.2479	3.8074
SYNTH0030	3.5850	2.3219	3.9069	3.9069	4.7549	3.5850	4.3923	4.5850	4.1699	2.8074	2.5850	3.9069	3.4594	4.9542	3.3219	4.3219
SYNTH0031	2.8074	3.1699	3.8074	3.1699	4.4594	2.5850	3.3219	3.7004	2.5850	3.0000	3.0000	3.7004	4.0000	4.3219	3.3219	0.0000
SYNTH0032	4.0875	2.8074	4.3923	3.7004	3.7004	3.7004	3.7004	3.9069	3.3219	3.1699	4.7004	3.7004	4.5236	3.3219	5.0000	3.4594
SYNTH0033	5.0875	4.5236	5.2854	4.8074	4.0000	4.7004	3.1699	5.0444	3.8074	5.3923	5.2479	4.7004	4.8074	4.8074	3.7004	4.7004
SYNTH0034	4.0875	2.0000	2.8074	0.0000	3.0000	3.0000	3.1699	4.1699	3.1699	2.8074	2.0000	3.3219	2.5850	2.8074	3.5850	2.0000
SYNTH0035	5.9542	5.3576	5.4263	6.0875	6.1293	6.1898	6.3399	5.7279	6.7682	7.6073	7.6865	7.0224	7.8138	7.7549	7.8765	6.7549
SYNTH0036	2.3219	3.8074	1.5850	3.1699	3.0000	3.0000	3.4594	2.3219	2.3219	4.2479	0.0000	3.3219	3.5850	3.1699	0.0000	2.5850
SYNTH0037	5.0000	6.0875	5.8329	5.4919	4.3219	3.5850	4.7549	5.2854	4.3923	5.3219	5.2479	4.9069	4.7004	5.0444	4.3219	5.9307
SYNTH0038	5.3219	4.7549	4.9542	4.9069	4.9069	6.8704	5.6147	6.0875	5.8329	5.3576	5.9542	5.9069	5.8074	6.2668	5.0444	5.8329
SYNTH0039	7.7074	7.9307	8.0768	8.6618	8.1599	8.0928	9.2021	8.0112	6.8329	8.5157	8.4757	6.5078	8.2479	7.8138	8.1649	8.3219
SYNTH0040	6.1085	6.1898	6.1293	6.3750	5.6439	4.3923	6.1699	6.5546	5.7279	5.3576	6.0875	5.7004	5.9307	5.8826	5.6147	6.9542
SYNTH0041	8.1189	6.9307	NA	7.7879	7.4757	8.2621	8.4959	7.8887	7.9484	7.2946	7.1799	7.3129	6.9425	6.3750	7.5157	7.0000
SYNTH0042	6.3399	6.1497	4.3219	6.1699	5.7549	6.1293	6.1898	5.7549	4.7004	6.0000	6.9307	4.5850	5.0444	5.7004	6.4094	5.1293
SYNTH0043	5.8329	5.8580	5.7004	5.0875	5.8074	5.2479	6.1085	5.6439	5.9542	5.0875	6.3399	5.1699	4.5236	5.4919	5.6724	4.2479
SYNTH0044	4.0000	2.5850	4.4594	2.8074	2.5850	4.2479	1.5850	3.8074	4.3219	2.8074	3.3219	3.0000	3.5850	2.8074	2.0000	2.8074
SYNTH0045	6.7549	7.3837	4.6439	7.1599	7.5236	6.6294	6.1497	6.9307	5.7004	5.2095	5.3576	5.7549	5.3576	6.1085	5.9307	5.5546
SYNTH0046	7.4998	7.3399	7.9830	7.6147	7.0661	7.2854	8.2668	8.4919	7.8265	8.2761	7.5999	8.8455	8.4471	7.7415	7.6147	7.2574
SYNTH0047	8.1241	7.4838	8.6366	7.6865	7.7682	7.4757	8.1344	7.2479	6.7004	7.2095	6.6147	7.8765	7.5850	5.1699	7.1799	7.8392
SYNTH0048	3.5850	3.0000	3.1699	2.0000	3.4594	3.1699	3.5850	2.3219	3.0000	3.0000	2.5850	3.3219	2.5850	3.8074	2.5850	4.2479
SYNTH0049	5.8826	4.6439	5.4919	5.2095	5.6147	5.8826	4.5236	5.6439	5.3219	4.0875	6.4757	4.3923	5.9542	5.3923	4.6439	5.2854
SYNTH0050	6.8329	7.5469	5.8580	6.2854	6.9425	6.3399	6.1898	6.5850	6.3750	6.4263	5.9542	5.5850	6.3923	6.7415	6.3750	6.4594
SYNTH0051	8.1293	8.6830	9.2264	7.3399	7.8580	9.1189	8.6511	7.3487	8.4305	9.8549	8.5962	8.6402	9.5527	8.3750	9.3015	7.4009
SYNTH0052	8.5887	8.2715	8.5622	9.5078	8.7582	8.0980	7.2668	8.5157	8.8138	8.6830	8.5962	8.5078	8.3264	8.7814	8.8978	9.1111
SYNTH0053	5.2479	5.5850	4.8074	3.8074	5.1293	6.1699	4.5850	4.3923	4.9069	5.5236	5.7549	4.3219	4.6439	5.4919	5.3576	4.3219
SYNTH0054	9.2992	8.0444	7.7944	9.0634	8.3129	9.0196	7.7415	9.4574	9.3332	8.3576	8.0112	9.1241	9.3794	8.9248	8.7211	7.9830
SYNTH0055	4.9069	5.1293	3.0000	4.3923	4.5236	4.0000	5.0000	3.5850	4.3923	5.2479	4.8580	6.3038	5.0875	6.3038	5.3923	5.8580
SYNTH0056	7.8765	8.0000	8.3443	8.7649	8.5196	8.4878	8.8265	8.6830	6.7682	8.0980	8.4838	8.2046	7.9009	8.6221	8.7004	8.1799
SYNTH0057	7.2854	7.0000	6.3399	6.8074	7.1085	7.2479	7.4594	6.6294	7.6865	6.4094	6.6582	7.5157	5.2095	7.4094	5.8580	7.2574
SYNTH0058	4.3923	4.0000	4.2479	3.4594	3.1699	4.0875	3.4594	4.9069	4.8580	5.3219	4.3923	3.9069	4.1699	4.7004	4.6439	3.0000
