GeneSymbol	studyC_case01	studyC_case02	studyC_case03	studyC_case04	studyC_case05	studyC_case06	studyC_case07	studyC_case08	studyC_case09	studyC_case10	studyC_ctrl01	studyC_ctrl02	studyC_ctrl03	studyC_ctrl04	studyC_ctrl05	studyC_ctrl06	studyC_ctrl07	studyC_ctrl08	studyC_ctrl09
COX4I1	2.8074	3.7004	4.1699	3.3219	3.5850	3.1699	4.2479	3.0000	3.0000	2.3219	4.0875	4.3923	4.6439	3.0000	4.7004	3.3219	2.8074	4.3219	3.0000
GRB2	4.4594	3.1699	4.7004	3.5850	5.0875	3.3219	4.3923	5.1699	4.0875	3.9069	5.3576	4.9069	4.7549	3.3219	3.5850	3.4594	5.0875	5.0444	4.8580
HDAC1	5.5546	7.0875	6.0224	6.3038	7.3219	6.6147	7.0661	6.0661	6.9658	7.3219	6.0875	7.2946	6.3750	7.8826	7.4429	6.4429	8.1293	6.5236	7.0224
CREBBP	5.5236	4.9069	4.0000	6.1293	5.2479	5.6439	4.3219	4.7004	4.3219	4.3923	6.0444	5.3219	6.4594	4.3923	5.2479	5.7279	5.3219	4.8074	5.1293
NFKB1	3.4594	4.5236	2.0000	4.1699	2.0000	3.9069	3.4594	4.2479	4.0875	4.6439	4.8074	2.3219	2.5850	3.4594	2.8074	4.2479	2.3219	3.1699	3.8074
KAT2B	6.9307	7.6724	5.8329	6.7004	7.2574	6.9658	7.0553	6.8704	7.0224	7.0000	5.5236	5.3923	5.9307	5.6439	4.3219	6.4919	5.9542	5.0444	5.7004
SP1	7.8329	8.1189	7.2761	5.9773	7.7879	6.9425	6.1699	6.8580	6.8329	7.3663	7.7415	7.3750	7.3399	8.2900	8.0715	8.2527	7.5392	7.1396	7.5392
IKBKB	7.5774	6.8826	6.3219	7.6221	7.3399	7.0980	6.0661	7.2668	7.5925	7.8580	6.7814	6.6439	7.1898	6.7415	6.6294	8.0279	7.5850	6.3219	7.6221
ITGB5	8.3966	6.9542	8.5236	7.9658	7.3038	8.9887	7.4346	8.7245	9.1137	8.3531	7.1997	8.8234	8.3219	6.8704	8.8455	NA	7.6795	7.8887	8.2900
ITGB8	9.6275	9.0741	7.9600	9.3685	9.9084	9.0056	9.4757	8.6795	8.6935	8.8857	9.2216	8.6935	7.3837	9.2877	8.7482	9.6036	9.3264	8.7004	8.7177
YY1	4.7004	3.5850	4.0000	4.0000	4.2479	4.6439	3.5850	5.3576	NA	4.3219	4.0000	3.7004	4.0875	5.3576	3.8074	3.7004	3.9069	4.0875	4.6439
HDAC4	6.8074	7.0661	6.4429	6.5999	6.7415	8.4094	7.1497	6.8704	7.5469	7.8580	7.5157	7.3750	6.7549	7.5774	6.9425	7.5314	6.1085	8.3837	8.4471
GSN	7.1497	6.0875	6.7682	6.7682	5.7549	7.4594	6.7415	7.0768	6.8202	5.2854	6.9425	6.9069	6.5699	7.9248	7.6294	7.2192	5.8074	6.4594	6.5078
ITGA6	3.9069	2.8074	2.8074	4.1699	3.0000	1.5850	3.4594	2.3219	4.0000	4.3923	3.4594	3.3219	4.5850	3.3219	4.7549	4.1699	4.0875	4.1699	3.7004
YAP1	6.4919	7.2192	6.6147	6.7415	NA	7.5078	6.8455	6.8826	6.6294	7.4263	7.2288	7.0553	7.3576	6.9307	5.5850	5.1699	6.2095	6.1085	6.0875
FLNB	7.1085	7.4512	6.1699	8.0224	7.5469	7.2288	7.7415	7.4998	6.5999	7.3487	8.3219	6.5699	7.0000	6.1293	7.7211	7.3129	7.3837	7.3663	6.0000
EZR	3.3219	4.0000	3.3219	3.4594	4.1699	3.5850	3.0000	3.9069	4.0875	3.0000	4.4594	3.7004	3.9069	4.0000	3.3219	2.5850	2.3219	3.5850	3.4594
APP	4.3219	3.8074	6.0875	4.5850	5.4594	4.5236	4.6439	4.9542	5.7814	4.3219	5.9069	5.5546	6.0000	4.3219	4.9069	5.2479	5.5546	NA	5.2854
MAPT	7.0661	8.0607	7.3487	7.5925	7.9658	7.5314	7.9715	7.9129	8.4221	7.6865	7.1293	7.4998	7.7748	7.6653	7.2479	8.0875	6.9887	7.0875	7.5157
PSEN1	3.5850	3.5850	3.3219	3.9069	4.0000	3.9069	4.0000	3.5850	4.9542	3.4594	5.2854	4.5236	2.0000	4.5236	4.0000	4.0875	3.9069	5.0444	2.8074
PSEN2	7.6724	6.5999	7.5314	7.2946	7.6865	7.2288	7.0000	7.3923	4.3923	7.9542	7.0444	6.7682	6.9307	6.6147	7.8887	7.8642	6.1497	7.6439	6.0000
ACTB	7.6294	8.6724	7.5546	NA	8.1849	8.2192	8.2992	7.7879	8.1447	8.5196	7.6582	7.7482	8.0768	9.0498	9.1799	7.9129	8.1293	8.2240	8.1497
GAPDH	4.2479	3.4594	4.0875	3.3219	3.3219	3.0000	3.5850	4.0875	3.7004	4.0875	4.7549	3.8074	3.1699	3.8074	4.4594	4.6439	4.0875	3.5850	3.0000
TUBB	4.0875	4.1699	4.4594	1.5850	4.0875	3.4594	2.8074	3.1699	3.7004	2.8074	4.1699	4.9069	4.0000	4.0000	2.3219	3.3219	3.7004	4.5850	4.5850
SDHA	5.4594	3.8074	4.0000	5.0875	4.4594	4.3219	3.9069	5.2095	4.6439	5.2095	3.8074	4.4594	3.5850	4.7004	4.3219	4.5850	4.4594	4.9069	4.6439
CALM1	3.4594	4.1699	2.8074	3.4594	3.8074	3.3219	3.0000	4.0875	4.1699	3.0000	4.0000	3.3219	3.3219	3.9069	3.4594	3.7004	0.0000	4.2479	3.1699
CALM2	5.7814	7.0444	6.0224	6.9425	6.9189	6.6439	6.3923	7.0334	4.8580	5.5546	6.5392	6.3399	6.2854	6.5999	6.6439	6.4429	6.4594	6.8826	5.7279
CALM3	5.0444	4.5850	4.6439	4.0875	3.5850	5.3219	3.9069	4.9542	3.9069	4.4594	4.4594	4.9069	4.1699	2.8074	NA	3.8074	4.5850	5.4263	4.2479
ATP1A1	5.2479	6.1699	4.7004	NA	6.0444	4.9069	6.3219	6.3750	6.0661	6.8455	4.5236	5.2479	4.9069	4.3923	4.3923	4.4594	3.8074	5.3219	4.6439
ATP1A2	7.4676	7.7549	7.1497	6.9773	7.0334	8.3576	6.7549	8.1997	7.4179	8.0928	8.5236	8.0980	7.5314	8.1033	8.3707	7.6221	7.6653	7.3837	7.0980
ATP1A3	7.1396	4.6439	5.9542	7.1189	6.6294	6.1699	5.4594	5.5546	5.8580	6.1497	5.0444	7.2854	7.3129	6.3923	4.6439	5.8074	7.0661	6.2095	5.6724
ATP2B1	3.4594	4.5850	5.0000	4.3219	4.5236	4.5236	5.1293	4.0000	4.1699	4.7549	5.4263	4.3923	2.0000	4.0000	3.7004	5.0875	3.9069	4.7549	4.1699
ATP2B2	3.1699	2.5850	4.2479	3.4594	3.8074	3.7004	4.7549	3.8074	4.0000	3.1699	4.0000	3.7004	3.5850	3.7004	4.1699	3.7004	4.9069	3.3219	4.0875
SYN1	8.1948	7.8009	7.7482	7.0000	8.2946	7.6366	8.2900	8.5661	7.2854	7.2095	7.5546	7.1085	8.4553	8.3038	8.0768	8.7515	7.0661	8.3219	8.3663
SYN2	4.7004	0.0000	3.3219	3.1699	4.8580	2.3219	3.0000	2.8074	2.8074	4.6439	4.3219	4.0000	3.3219	2.3219	3.7004	3.9069	3.0000	3.0000	4.7549
SYP	4.9542	4.5236	3.3219	5.6439	4.0000	3.9069	5.1699	5.7549	4.1699	5.5850	3.5850	4.9542	3.1699	3.5850	5.0444	4.5236	3.5850	4.9069	4.9069
SYT1	9.1699	8.7582	8.9278	9.3619	7.5850	9.2192	9.2192	8.6221	8.6366	8.4594	8.8704	8.5353	7.4757	8.7814	9.2408	7.9773	9.4998	8.5469	7.9542
NEFL	NA	7.0000	7.2479	6.8826	6.3219	6.9425	6.8074	6.8704	4.2479	6.5078	6.1293	7.1898	6.5546	6.6582	6.0000	7.5925	5.7279	6.4263	6.8455
NEFM	7.6147	8.0279	8.5736	7.2946	7.2946	8.0715	7.3219	8.3619	8.2288	6.6439	8.1241	8.1344	8.2854	8.6110	7.4594	8.7515	8.3880	8.0498	7.8329
NEFH	6.1085	6.3576	7.4263	5.2479	6.5236	7.1997	6.3576	5.6439	6.5546	6.2479	4.9542	7.0224	5.9069	5.5850	6.0224	6.9887	5.1699	6.6439	5.8074
GFAP	3.7004	3.1699	2.5850	3.0000	3.5850	2.8074	3.4594	2.8074	1.0000	3.1699	4.3219	2.8074	3.7004	3.9069	4.8074	3.3219	NA	2.8074	3.8074
AIF1	3.8074	4.9542	4.0875	NA	4.4594	2.5850	3.7004	3.0000	3.0000	3.9069	4.9069	2.5850	3.1699	3.5850	3.1699	3.8074	4.9069	3.1699	3.1699
CD68	5.3219	5.1699	4.9069	4.2479	5.2095	4.5236	5.1699	5.4594	4.8580	NA	5.0875	4.8580	4.1699	5.0000	6.0444	4.7549	5.6439	4.5850	5.4263
TNF	6.3399	6.4094	5.5546	6.6439	4.7004	5.5546	5.7279	5.8580	5.0875	5.2854	6.3399	7.3663	6.9425	7.8826	5.5546	6.8455	6.4094	7.4676	7.1997
IL1B	9.3197	7.7004	8.8580	8.2527	9.8978	7.3576	9.4979	8.5038	8.4305	7.9887	8.9858	9.1163	8.9248	8.1085	6.3219	9.2808	8.0928	6.5392	9.2167
IL6	8.6865	9.8471	8.8424	9.0224	7.8704	9.9114	9.5469	8.7715	8.7142	8.3309	9.5118	8.4635	9.1874	9.6202	9.1548	9.1573	9.1370	8.0715	8.1997
CXCL8	8.2715	8.0928	7.7616	7.0553	7.7211	7.4179	9.1319	7.6439	7.4919	7.1599	7.7074	8.6795	8.9715	8.0334	7.2946	8.5546	7.4512	7.9715	8.6724
CCL2	9.5887	7.7142	9.7177	8.0928	7.5392	8.6724	7.6511	9.9758	8.7381	8.7211	8.1898	8.1033	7.3487	9.4553	8.9366	8.2621	7.7004	8.7142	9.1163
NFKBIA	10.4594	9.2621	8.9366	NA	8.9366	9.7465	10.3163	10.2691	9.8887	9.8329	8.3174	8.3354	8.9366	7.8642	9.5372	8.0168	NA	9.4676	8.4757
RELA	4.7549	5.2854	5.1293	5.1293	5.0444	5.0444	3.7004	4.6439	5.4263	4.9542	4.3219	3.4594	4.1699	4.8074	4.1699	4.4594	3.5850	3.4594	3.3219
TP53	7.4009	6.5078	7.6935	7.7748	7.5469	7.3837	6.7549	7.8826	7.4676	7.8948	6.1898	6.7944	7.5999	7.4179	6.9069	7.6439	7.6439	6.0444	7.4179
MDM2	2.3219	2.0000	4.4594	3.7004	0.0000	3.4594	3.4594	3.8074	4.0000	3.3219	4.0875	3.5850	4.5236	4.8580	2.0000	3.3219	3.5850	0.0000	3.9069
CDKN1A	6.2288	5.8329	6.2668	6.1293	5.4263	6.7279	NA	6.8580	6.1898	6.0661	3.5850	5.2095	6.2095	5.8826	5.1699	5.0000	4.3219	5.4919	5.8329
BAX	7.6073	7.8392	8.3309	7.4919	7.2761	7.3219	7.1997	6.7814	8.1599	7.8765	8.0112	6.3219	6.7415	8.1649	8.0821	7.0553	6.8202	7.2761	6.8074
BCL2	5.4594	6.1293	6.0224	6.9069	6.8826	7.3487	6.7279	6.6439	6.0224	6.8826	5.6147	7.7211	6.9189	6.8074	6.4919	6.9307	7.0661	7.1699	6.7279
CASP3	3.8074	3.8074	2.3219	3.5850	4.0000	3.7004	3.5850	3.1699	3.5850	3.8074	3.8074	3.9069	3.3219	3.7004	3.3219	2.3219	4.0875	3.7004	4.0000
CASP9	4.7004	4.1699	5.1293	5.5546	5.1699	5.3219	3.1699	3.4594	4.2479	6.1293	3.5850	4.5236	4.7004	5.2479	4.0875	4.8580	5.8329	4.3923	4.5236
PARP1	5.7279	5.8826	4.3923	5.1699	5.8074	6.7682	4.8074	5.4919	6.2479	5.3923	5.3219	4.4594	4.9069	5.0444	5.9307	5.3219	6.3576	5.0000	5.0875
ATM	3.9069	3.4594	3.0000	2.8074	3.7004	4.0000	2.5850	3.1699	2.8074	3.1699	2.0000	3.9069	2.3219	2.3219	5.0000	4.7004	4.2479	4.7004	3.1699
ATR	9.4346	NA	9.6935	9.6600	8.7977	9.2384	9.2923	9.8502	8.9248	9.2969	7.7004	6.1699	7.9773	7.8704	8.0224	8.6330	8.4388	8.6795	7.6366
BRCA1	4.0000	2.5850	3.0000	3.4594	3.1699	2.5850	3.1699	2.5850	3.3219	3.4594	3.1699	3.8074	2.5850	3.7004	2.5850	0.0000	2.8074	3.9069	3.5850
BRCA2	8.1396	8.3174	7.7004	7.9248	7.7616	7.1599	7.6795	8.1085	8.8673	8.4919	6.6865	6.9425	5.3576	5.9542	7.1799	6.3923	6.4094	6.1293	6.0444
RAD51	7.0768	6.1497	6.6147	6.0444	6.0000	6.3219	6.1898	5.8580	5.1293	6.8948	4.7004	5.0444	4.5850	4.4594	4.0875	5.0000	5.0875	4.8580	4.5850
XRCC1	6.3219	5.7004	5.4263	5.4594	6.3576	6.7142	4.4594	5.1699	5.8329	6.2479	6.2479	5.7814	5.3219	6.3923	6.0444	5.9307	5.7004	6.2288	5.3923
ERCC1	3.4594	2.8074	3.1699	3.4594	1.5850	3.1699	2.8074	2.3219	2.8074	2.8074	4.5236	4.4594	4.3923	3.0000	3.4594	5.4919	4.0875	4.8074	4.7549
MKI67	5.0875	5.7814	5.8329	5.1699	5.6724	4.7004	3.7004	5.0000	6.1085	5.1699	6.8329	7.1599	5.9069	6.3750	5.3219	6.1497	5.6147	5.9773	6.4757
PCNA	8.2715	8.1749	9.4009	9.1997	8.6439	9.4242	7.9248	8.8361	7.7814	9.2621	9.4179	7.6582	9.2192	8.2143	8.2046	8.8106	7.8826	8.4136	8.8486
CCND1	5.3576	6.1699	5.3576	5.8074	5.6439	6.0224	5.2095	5.9307	4.7004	4.5236	4.3219	3.7004	4.0000	4.4594	5.5236	3.8074	4.4594	4.5850	3.8074
CCNE1	9.7912	8.9715	9.3880	9.1163	9.4305	8.9600	8.3923	8.9189	8.8455	8.1085	8.7944	9.9322	8.1749	9.8765	10.2562	9.7432	7.9425	8.0661	8.9658
CDK2	9.3332	8.6073	8.6830	9.3987	8.8234	8.8361	8.8887	7.9009	8.1344	9.2288	9.5118	9.5038	9.3554	9.1699	7.7347	9.2384	9.2167	8.8138	8.2432
CDK4	4.6439	5.1293	4.5236	6.0661	4.0000	5.0000	4.3923	3.8074	5.0000	6.0444	4.3923	5.1293	4.5850	4.3923	4.3219	4.3219	5.0444	4.3923	5.6724
CDK6	3.4594	3.9069	2.8074	3.5850	3.0000	3.4594	3.9069	3.1699	3.3219	2.3219	1.5850	3.4594	0.0000	1.5850	3.3219	0.0000	1.5850	4.0000	4.0875
RB1	8.0875	6.5392	8.9009	8.5774	8.9801	8.2046	8.4998	8.9858	8.6475	8.2479	9.2761	8.7846	8.0715	7.5546	NA	8.0821	8.1849	8.4878	8.7748
E2F1	2.8074	1.5850	1.5850	1.0000	2.0000	0.0000	2.5850	1.0000	1.0000	2.3219	3.1699	2.0000	3.4594	3.0000	3.5850	3.7004	3.3219	3.4594	3.3219
MYC	4.4594	6.4094	6.1898	4.4594	6.5392	6.9887	6.4094	6.6724	5.4263	7.0224	5.7549	7.2288	5.8074	6.8948	5.7279	6.2288	6.0875	6.6147	6.8580
MAX	5.0000	5.9307	6.6294	6.4094	5.3923	5.7004	5.9542	4.3219	6.5850	5.9069	5.5850	5.7004	5.3576	6.0224	5.8074	5.3576	6.1497	5.0875	6.1699
JUN	5.4919	5.0444	5.2854	5.4919	5.6439	5.0875	4.4594	5.3923	5.7279	5.2854	5.5850	5.6147	5.5850	5.5236	5.8074	5.0444	5.7004	5.3576	5.2854
FOS	8.0224	8.6795	8.4009	8.0389	8.4959	7.2761	7.6724	7.8887	7.7279	8.0389	7.7279	7.9366	7.8704	7.4676	8.5353	8.9571	7.4512	7.6366	8.0389
EGR1	4.8074	4.0000	5.0000	5.4919	4.1699	4.2479	4.1699	4.5850	4.6439	4.4594	5.0875	5.2854	4.7549	4.8074	4.8580	4.5236	4.5236	5.4263	3.8074
ATF3	6.7549	7.7879	6.2288	7.5699	7.5157	7.0334	7.5774	6.4263	6.5392	7.3129	8.1033	7.3663	7.3576	6.7142	7.8580	7.0661	7.1699	6.5850	6.9542
STAT1	6.4594	6.4094	4.8074	5.7004	5.6439	6.5850	5.0444	4.3923	4.9069	5.3923	5.2854	6.2288	5.4919	NA	5.6439	4.9542	6.2288	5.0444	5.7549
STAT3	5.3219	6.7004	5.5850	7.0875	6.5850	5.9307	6.4429	6.2854	5.7004	5.3219	5.8826	5.0875	6.2288	5.5236	6.9189	5.8826	6.0661	5.7814	4.4594
STAT5A	3.8074	5.0000	4.2479	4.3219	5.7004	5.8329	4.0875	4.9542	5.3923	4.9542	5.6147	5.2095	4.2479	5.6147	4.9542	4.5236	4.3219	4.1699	5.5850
JAK1	5.7004	4.3219	4.9069	4.3923	5.0875	5.3219	4.7549	4.1699	5.0875	5.4919	5.4263	3.7004	3.8074	3.5850	3.4594	4.1699	6.3038	5.4919	3.0000
JAK2	5.9773	6.5699	6.7682	7.2761	7.3399	7.2095	7.7814	7.1085	5.8074	6.5078	6.3576	6.7814	7.2192	4.8580	6.0000	7.3576	6.6147	6.4094	6.3399
SOCS1	6.5850	5.6439	4.5850	5.4919	4.7549	5.7279	4.8074	5.1699	5.7814	4.4594	5.0875	5.4263	5.1293	5.6147	5.9773	5.6439	5.5236	5.7814	5.9542
SOCS3	5.3219	2.5850	4.7004	4.7549	4.3219	5.3219	5.1699	5.2095	5.7549	5.5850	5.1699	4.7004	5.8329	5.0444	5.1699	5.0444	4.8074	5.5546	4.2479
IRF1	5.9542	6.5236	7.6795	6.1898	7.1997	6.4263	6.0661	7.7748	6.1497	6.2479	6.5546	7.5314	7.5546	6.7004	6.7279	6.0224	7.6724	6.5078	7.1997
SYNTH0001	7.3487	6.9658	6.6582	6.5078	7.0661	7.2288	7.5078	6.2095	7.3038	7.3750	6.3750	7.5850	7.1396	7.2854	5.4919	6.8704	7.2479	7.5999	6.1699
SYNTH0002	7.3576	8.6073	8.0553	8.6147	9.0580	9.6402	8.5925	7.9658	8.9218	8.5925	8.8734	8.7347	9.6275	9.4676	8.1898	10.2033	NA	9.3707	8.6475
SYNTH0003	1.5850	4.2479	4.3923	4.5236	3.9069	3.8074	4.6439	3.0000	4.0875	4.8580	2.5850	4.5236	4.7549	4.9542	4.0875	4.0875	4.5850	3.8074	4.1699
SYNTH0004	8.0498	8.6330	7.0661	8.7142	8.3531	6.6582	7.8948	8.4757	7.7616	7.3219	8.2574	7.3219	7.5314	8.2095	7.2668	7.6795	8.7846	8.0553	8.9159
SYNTH0005	5.5236	5.0444	6.2288	5.9773	5.3576	5.2095	5.7279	5.9542	6.4757	3.5850	6.2288	4.8580	4.7004	5.3219	5.9773	6.1085	5.3923	5.3219	4.5236
SYNTH0006	3.0000	3.9069	2.8074	3.3219	3.3219	3.0000	1.5850	2.5850	3.7004	3.0000	2.0000	3.1699	4.0000	3.5850	2.3219	2.5850	3.3219	2.5850	3.7004
SYNTH0007	7.1396	7.0334	7.2288	7.7879	6.9189	6.9887	7.6511	7.0000	4.9542	6.9542	7.9009	6.8948	8.4471	9.2946	8.4179	8.4346	8.1599	7.6865	9.0168
SYNTH0008	3.4594	3.8074	3.1699	3.0000	3.0000	3.1699	3.1699	3.1699	4.3923	2.0000	3.9069	4.6439	3.9069	2.5850	4.1699	3.5850	2.5850	4.3219	3.3219
SYNTH0009	3.1699	4.5236	4.4594	3.4594	2.3219	3.4594	3.8074	2.5850	3.7004	3.4594	3.1699	3.9069	4.3923	4.1699	3.0000	4.2479	4.0875	4.1699	2.8074
SYNTH0010	8.4346	8.1293	9.2808	9.4818	8.9337	9.2167	8.2900	8.5038	7.9887	8.3619	6.5699	9.1624	8.7074	8.6330	8.4388	8.5812	9.4898	7.9307	7.0112
SYNTH0011	4.0000	5.2854	4.0875	4.3219	3.3219	4.1699	4.8580	5.5236	4.0000	4.3219	3.7004	3.7004	3.9069	2.5850	3.3219	2.0000	3.5850	2.5850	3.4594
SYNTH0012	3.0000	3.5850	2.0000	3.1699	4.2479	3.8074	3.1699	1.5850	2.5850	4.2479	4.3219	4.8074	3.8074	4.2479	4.5850	3.7004	3.7004	4.0875	4.2479
SYNTH0013	5.6439	3.8074	4.4594	5.4919	4.7004	3.9069	4.4594	3.1699	4.0875	4.9069	4.9069	2.3219	3.3219	4.0000	3.9069	5.2479	5.3576	4.7004	5.3219
SYNTH0014	5.4919	4.8580	5.5850	5.0444	5.1293	5.1699	5.3923	4.3923	5.1293	4.5236	5.6439	4.9542	5.0444	6.2095	4.6439	4.3923	6.3399	5.1293	5.5546
SYNTH0015	4.5850	3.7004	4.8074	4.7549	4.1699	5.4594	5.6147	5.2479	4.5236	4.0875	3.8074	5.2479	5.2479	4.5850	4.6439	4.5850	5.1699	4.7549	4.9542
SYNTH0016	2.8074	4.3219	3.9069	2.0000	2.5850	2.0000	3.5850	4.3219	3.4594	3.4594	2.8074	3.3219	2.0000	3.7004	4.2479	3.1699	2.5850	4.0875	4.1699
SYNTH0017	3.1699	3.5850	3.7004	4.0000	2.8074	3.7004	4.3923	3.0000	2.8074	3.9069	3.1699	2.5850	4.0875	3.9069	4.0875	2.3219	3.5850	3.3219	3.5850
SYNTH0018	8.6475	9.1267	9.1874	8.9542	8.0279	8.4676	7.5392	8.2668	8.4959	8.7846	7.8455	9.0795	8.4051	8.6900	8.4594	9.1972	8.5236	8.5392	9.2550
SYNTH0019	2.5850	3.1699	3.1699	2.8074	3.0000	3.1699	3.3219	3.1699	2.5850	3.1699	3.3219	1.5850	2.8074	4.5236	2.0000	2.3219	2.5850	2.5850	2.3219
SYNTH0020	4.0000	4.3219	3.4594	4.0875	3.7004	4.9069	4.7549	4.0000	3.3219	5.1293	1.5850	4.1699	3.4594	5.0875	4.8074	3.1699	4.2479	4.0875	5.7004
SYNTH0021	4.5850	4.7549	5.0875	3.8074	6.4594	4.3219	5.9542	5.6724	4.9542	5.3923	6.5392	6.1293	6.0000	5.8826	4.3219	5.7004	4.7549	5.7549	5.0444
SYNTH0022	8.2095	8.5118	8.3707	8.4757	7.5622	8.4676	8.6795	8.6900	8.2046	7.8948	8.3309	8.3707	8.0112	8.6689	8.2808	8.2761	8.3619	7.6724	8.0821
SYNTH0023	7.7616	7.1396	5.6439	6.1699	6.3399	6.9425	7.0661	7.7074	7.4838	7.6221	6.7549	7.2668	7.2095	NA	7.6795	7.9069	6.6724	7.6366	7.0553
SYNTH0024	4.5236	6.0875	4.1699	6.2095	5.5546	5.0000	5.1699	6.0444	5.2854	4.9069	4.4594	4.9542	4.5236	5.0875	4.8074	4.0000	4.1699	5.4919	5.5236
SYNTH0025	5.0875	7.0224	5.8580	6.5699	5.4263	5.2095	5.5850	6.4919	6.6147	6.6294	3.1699	5.3219	4.8074	4.1699	5.9773	4.9542	5.0875	5.9773	5.7004
SYNTH0026	6.5850	6.9307	7.2384	6.9425	7.3487	5.7004	7.2479	5.7549	6.7814	5.8580	6.9542	6.6582	6.1293	5.7004	5.7549	6.7004	7.6366	6.5236	6.5850
SYNTH0027	6.4919	5.2479	6.2095	5.5850	5.0000	5.8329	6.3038	7.6294	4.6439	6.9189	6.6294	6.1497	6.4757	6.5078	6.7682	5.3923	5.1293	6.0661	6.4263
SYNTH0028	6.7004	7.0444	7.2384	6.8704	7.0334	8.0112	7.5774	6.5236	6.3399	6.3576	7.0000	5.6724	6.5699	6.6724	6.7549	6.7415	6.6294	8.0000	6.8704
SYNTH0029	4.8580	3.4594	3.9069	4.9542	3.4594	4.8074	4.6439	4.8074	4.4594	3.4594	5.5546	4.9542	4.3923	4.5236	0.0000	3.5850	5.0000	4.3219	3.4594
SYNTH0030	3.9069	5.0000	3.7004	4.2479	4.3219	3.9069	3.3219	3.8074	4.7549	4.6439	4.2479	4.0000	4.0875	3.8074	4.5236	4.1699	4.0000	4.2479	3.0000
SYNTH0031	4.0875	3.0000	3.4594	3.4594	4.0875	2.0000	3.8074	4.0875	3.9069	3.7004	5.0000	4.1699	2.8074	4.7004	4.6439	3.0000	4.7549	3.3219	4.3923
SYNTH0032	3.1699	3.7004	4.0000	3.1699	3.0000	3.7004	3.7004	4.7549	2.8074	4.9069	3.4594	3.9069	3.9069	4.0000	3.8074	4.5236	4.1699	1.5850	2.8074
SYNTH0033	5.2479	2.5850	5.6724	5.7814	4.7004	5.3576	5.0875	5.4919	5.5236	4.3219	5.6724	4.4594	5.5236	4.0875	4.0000	4.7004	5.3219	5.2095	3.7004
SYNTH0034	2.0000	3.3219	3.1699	4.0875	2.5850	3.0000	1.5850	2.5850	2.3219	3.8074	3.3219	3.1699	4.1699	3.0000	3.0000	3.0000	3.5850	2.3219	3.4594
