gene	studyC_case01	studyC_case02	studyC_case03	studyC_case04	studyC_case05	studyC_case06	studyC_case07	studyC_case08	studyC_case09	studyC_case10	studyC_ctrl01	studyC_ctrl02	studyC_ctrl03	studyC_ctrl04	studyC_ctrl05	studyC_ctrl06	studyC_ctrl07	studyC_ctrl08	studyC_ctrl09
CALM1	10	17	6	10	13	9	7	16	17	7	15	9	9	14	10	12	0	18	8
CALM2	54	131	64	122	120	99	83	130	28	46	92	80	77	96	99	86	87	117	52
CALM3	32	23	24	16	11	39	14	30	14	21	21	29	17	6	44	13	23	42	18
ATP1A1	37	71	25	39	65	29	79	82	66	114	22	37	29	20	20	21	13	39	24
ATP1A2	176	215	141	125	130	327	107	293	170	272	367	273	184	274	330	196	202	166	136
ATP1A3	140	24	61	138	98	71	43	46	57	70	32	155	158	83	24	55	133	73	50
ATP2B1	10	23	31	19	22	22	34	15	17	26	42	20	3	15	12	33	14	26	17
ATP2B2	8	5	18	10	13	12	26	13	15	8	15	12	11	12	17	12	29	9	16
SYN1	292	222	214	127	313	198	312	378	155	147	187	137	350	315	269	430	133	319	329
SYN2	25	0	9	8	28	4	7	6	6	24	19	15	9	4	12	14	7	7	26
SYP	30	22	9	49	15	14	35	53	17	47	11	30	8	11	32	22	11	29	29
SYT1	575	432	486	657	191	595	595	393	397	351	467	370	177	439	604	251	723	373	247
NEFL	92	127	151	117	79	122	111	116	18	90	69	145	93	100	63	192	52	85	114
NEFM	195	260	380	156	156	268	159	328	299	99	278	280	311	390	175	430	334	264	227
NEFH	68	81	171	37	91	146	81	49	93	75	30	129	59	47	64	126	35	99	55
GFAP	12	8	5	7	11	6	10	6	1	8	19	6	12	14	27	9	7	6	13
AIF1	13	30	16	7	21	5	12	7	7	14	29	5	8	11	8	13	29	8	8
CD68	39	35	29	18	36	22	35	43	28	19	33	28	17	31	65	26	49	23	42
TNF	80	84	46	99	25	46	52	57	33	38	80	164	122	235	46	114	84	176	146
IL1B	638	207	463	304	953	163	722	362	344	253	506	554	485	275	79	621	272	92	594
IL6	411	920	458	519	233	962	747	436	419	321	729	352	582	786	569	570	562	268	293
CXCL8	308	272	216	132	210	170	560	199	179	142	208	409	501	261	156	375	174	250	407
CCL2	769	209	841	272	185	407	200	1006	426	421	291	274	162	701	489	306	207	419	554
NFKBIA	1407	613	489	882	489	858	1274	1233	947	911	318	322	489	232	742	258	454	707	355
RELA	26	38	34	34	32	32	12	24	42	30	19	10	17	27	17	21	11	10	9
TP53	168	90	206	218	186	166	107	235	176	237	72	110	193	170	119	199	199	65	170
MDM2	4	3	21	12	0	10	10	13	15	9	16	11	22	28	3	9	11	0	14
CDKN1A	74	56	76	69	42	105	53	115	72	66	11	36	73	58	35	31	19	44	56
BAX	194	228	321	179	154	159	146	109	285	234	257	79	106	286	270	132	112	154	111
BCL2	43	69	64	119	117	162	105	99	64	117	48	210	120	111	89	121	133	143	105
CASP3	13	13	4	11	15	12	11	8	11	13	13	14	9	12	9	4	16	12	15
CASP9	25	17	34	46	35	39	8	10	18	69	11	22	25	37	16	28	56	20	22
PARP1	52	58	20	35	55	108	27	44	75	41	39	21	29	32	60	39	81	31	33
ATM	14	10	7	6	12	15	5	8	6	8	3	14	4	4	31	25	18	25	8
ATR	691	1210	827	808	444	603	626	922	485	628	207	71	251	233	259	396	346	409	198
BRCA1	15	5	7	10	8	5	8	5	9	10	8	13	5	12	5	0	6	14	11
BRCA2	281	318	207	242	216	142	204	275	466	359	102	122	40	61	144	83	84	69	65
RAD51	134	70	97	65	63	79	72	57	34	118	25	32	23	21	16	31	33	28	23
XRCC1	79	51	42	43	81	104	21	35	56	75	75	54	39	83	65	60	51	74	41
ERCC1	10	6	8	10	2	8	6	4	6	6	22	21	20	7	10	44	16	27	26
MKI67	33	54	56	35	50	25	12	31	68	35	113	142	59	82	39	70	48	62	88
PCNA	308	288	675	587	399	686	242	456	219	613	683	201	595	296	294	448	235	340	460
CCND1	40	71	40	55	49	64	36	60	25	22	19	12	15	21	45	13	21	23	13
CCNE1	885	501	669	554	689	497	335	483	459	275	443	976	288	939	1222	856	245	267	499
CDK2	644	389	410	674	452	456	473	238	280	599	729	725	654	575	212	603	594	449	302
CDK4	24	34	22	66	15	31	20	13	31	65	20	34	23	20	19	19	32	20	50
CDK6	10	14	6	11	7	10	14	8	9	4	2	10	0	2	9	0	2	15	16
RB1	271	92	477	381	504	294	361	506	400	303	619	440	268	187	369	270	290	358	437
E2F1	6	2	2	1	3	0	5	1	1	4	8	3	10	7	11	12	9	10	9
MYC	21	84	72	21	92	126	84	101	42	129	53	149	55	118	52	74	67	97	115
MAX	31	60	98	84	41	51	61	19	95	59	47	51	40	64	55	40	70	33	71
JUN	44	32	38	44	49	33	21	41	52	38	47	48	47	45	55	32	51	40	38
FOS	259	409	337	262	360	154	203	236	211	262	211	244	233	176	370	496	174	198	262
EGR1	27	15	31	44	17	18	17	23	24	21	33	38	26	27	28	22	22	42	13
ATF3	107	220	74	189	182	130	190	85	92	158	274	164	163	104	231	133	143	95	123
STAT1	87	84	27	51	49	95	32	20	29	41	38	74	44	22	49	30	74	32	53
STAT3	39	103	47	135	95	60	86	77	51	39	58	33	74	45	120	58	66	54	21
STAT5A	13	31	18	19	51	56	16	30	41	30	48	36	18	48	30	22	19	17	47
JAK1	51	19	29	20	33	39	26	17	33	44	42	12	13	11	10	17	78	44	7
JAK2	62	94	108	154	161	147	219	137	55	90	81	109	148	28	63	163	97	84	80
SOCS1	95	49	23	44	26	52	27	35	54	21	33	42	34	48	62	49	45	54	61
SOCS3	39	5	25	26	19	39	35	36	53	47	35	25	56	32	35	32	27	46	18
IRF1	61	91	204	72	146	85	66	218	70	75	93	184	187	103	105	64	203	90	146
SYNTH0001	162	124	100	90	133	149	181	73	157	165	82	191	140	155	44	116	151	193	71
SYNTH0002	163	389	265	391	532	797	385	249	484	385	468	425	790	707	291	1178	452	661	400
SYNTH0003	2	18	20	22	14	13	24	7	16	28	5	22	26	30	16	16	23	13	17
SYNTH0004	264	396	133	419	326	100	237	355	216	159	305	159	184	295	153	204	440	265	482
SYNTH0005	45	32	74	62	40	36	52	61	88	11	74	28	25	39	62	68	41	39	22
SYNTH0006	7	14	6	9	9	7	2	5	12	7	3	8	15	11	4	5	9	5	12
SYNTH0007	140	130	149	220	120	126	200	127	30	123	238	118	348	627	341	345	285	205	517
SYNTH0008	10	13	8	7	7	8	8	8	20	3	14	24	14	5	17	11	5	19	9
SYNTH0009	8	22	21	10	4	10	13	5	12	10	8	14	20	17	7	18	16	17	6
SYNTH0010	345	279	621	714	488	594	312	362	253	328	94	572	417	396	346	382	718	243	128
SYNTH0011	15	38	16	19	9	17	28	45	15	19	12	12	14	5	9	3	11	5	10
SYNTH0012	7	11	3	8	18	13	8	2	5	18	19	27	13	18	23	12	12	16	18
SYNTH0013	49	13	21	44	25	14	21	8	16	29	29	4	9	15	14	37	40	25	39
SYNTH0014	44	28	47	32	34	35	41	20	34	22	49	30	32	73	24	20	80	34	46
SYNTH0015	23	12	27	26	17	43	48	37	22	16	13	37	37	23	24	23	35	26	30
SYNTH0016	6	19	14	3	5	3	11	19	10	10	6	9	3	12	18	8	5	16	17
SYNTH0017	8	11	12	15	6	12	20	7	6	14	8	5	16	14	16	4	11	9	11
SYNTH0018	400	558	582	495	260	353	185	307	360	440	229	540	338	412	351	586	367	371	610
SYNTH0019	5	8	8	6	7	8	9	8	5	8	9	2	6	22	3	4	5	5	4
SYNTH0020	15	19	10	16	12	29	26	15	9	34	2	17	10	33	27	8	18	16	51
SYNTH0021	23	26	33	13	87	19	61	50	30	41	92	69	63	58	19	51	26	53	32
SYNTH0022	295	364	330	355	188	353	409	412	294	237	321	330	257	406	310	309	328	203	270
SYNTH0023	216	140	49	71	80	122	133	208	178	196	107	153	147	149	204	239	101	198	132
SYNTH0024	22	67	17	73	46	31	35	65	38	29	21	30	22	33	27	15	17	44	45
SYNTH0025	33	129	57	94	42	36	47	89	97	98	8	39	27	17	62	30	33	62	51
SYNTH0026	95	121	150	122	162	51	151	53	109	57	123	100	69	51	53	103	198	91	95
SYNTH0027	89	37	73	47	31	56	78	197	24	120	98	70	88	90	108	41	34	66	85
SYNTH0028	103	131	150	116	130	257	190	91	80	81	127	50	94	101	107	106	98	255	116
SYNTH0029	28	10	14	30	10	27	24	27	21	10	46	30	20	22	0	11	31	19	10
SYNTH0030	14	31	12	18	19	14	9	13	26	24	18	15	16	13	22	17	15	18	7
SYNTH0031	16	7	10	10	16	3	13	16	14	12	31	17	6	25	24	7	26	9	20
SYNTH0032	8	12	15	8	7	12	12	26	6	29	10	14	14	15	13	22	17	2	6
SYNTH0033	37	5	50	54	25	40	33	44	45	19	50	21	45	16	15	25	39	36	12
SYNTH0034	3	9	8	16	5	7	2	5	4	13	9	8	17	7	7	7	11	4	10
SYNTH0035	79	131	160	73	47	67	60	209	81	77	223	74	183	274	129	367	243	96	155
SYNTH0036	6	7	4	6	2	5	5	6	22	13	7	3	11	18	14	5	5	6	9
SYNTH0037	43	28	30	28	39	27	48	41	17	35	28	21	34	50	39	11	13	32	15
SYNTH0038	81	40	85	37	66	63	49	49	102	63	105	47	76	68	41	26	49	56	84
SYNTH0039	460	599	84	1241	269	358	593	333	432	371	538	498	447	326	208	589	314	366	644
SYNTH0040	57	60	68	65	48	99	100	74	67	112	34	52	118	68	132	33	47	151	32
SYNTH0041	141	183	256	423	338	447	186	204	655	283	220	92	145	163	85	153	165	141	190
SYNTH0042	42	119	39	34	44	72	135	64	76	48	44	68	75	39	150	45	34	113	96
SYNTH0043	49	26	42	27	28	53	36	16	57	38	51	47	97	43	89	44	21	14	58
SYNTH0044	5	14	6	8	10	12	7	14	17	13	17	11	23	8	9	13	1	8	12
SYNTH0045	101	149	197	228	85	131	86	140	160	139	103	36	45	22	46	25	36	32	90
SYNTH0046	48	232	104	201	252	404	155	181	89	99	433	395	163	70	228	256	309	213	284
SYNTH0047	394	218	229	635	164	152	283	321	355	603	101	298	209	187	175	144	88	183	236
SYNTH0048	6	18	15	9	4	19	8	10	15	3	10	17	5	8	9	1	9	1	9
SYNTH0049	49	13	38	50	23	30	34	73	40	28	39	33	44	66	56	71	62	54	53
SYNTH0050	149	82	80	102	63	111	38	43	54	65	121	125	60	145	124	86	190	42	51
SYNTH0051	483	699	208	393	185	587	616	269	923	388	717	408	393	332	665	578	196	981	747
SYNTH0052	525	795	246	1378	455	611	598	106	731	397	270	269	570	579	896	418	427	473	478
SYNTH0053	40	50	67	24	11	73	25	34	15	39	15	35	50	37	71	47	47	32	26
SYNTH0054	617	301	366	841	296	656	393	569	818	120	337	652	682	271	369	469	732	656	588
SYNTH0055	26	25	32	13	27	37	8	29	37	33	39	20	62	26	95	60	52	96	25
SYNTH0056	360	127	387	297	785	344	315	127	320	143	440	443	462	183	431	493	269	382	422
SYNTH0057	76	91	136	132	89	152	118	135	87	110	117	71	74	134	142	208	193	151	85
SYNTH0058	42	9	69	23	8	16	31	27	25	23	28	55	14	26	29	27	16	23	31
SYNTH0059	197	298	94	264	227	124	155	247	105	186	177	221	154	79	165	214	281	142	190
SYNTH0060	257	217	335	170	233	207	211	110	156	101	187	337	47	288	156	109	290	90	221
SYNTH0061	280	741	782	246	421	482	410	509	332	117	196	540	294	352	390	716	574	420	399
SYNTH0062	9	45	25	17	41	24	25	15	22	19	37	29	22	16	18	19	32	15	46
SYNTH0063	8	9	11	4	14	19	2	9	11	14	12	16	17	17	6	17	2	7	8
SYNTH0064	140	53	39	17	73	38	143	67	94	26	59	74	56	42	58	27	47	71	103
SYNTH0065	30	54	33	45	57	43	36	24	43	38	26	15	55	35	37	20	44	18	25
SYNTH0066	68	32	32	29	57	19	20	37	16	20	17	24	15	21	30	19	12	25	18
SYNTH0067	29	16	14	21	18	24	11	23	20	13	15	4	4	11	7	6	17	8	9
SYNTH0068	109	238	196	72	127	135	184	255	77	103	127	166	125	172	94	91	174	83	115
SYNTH0069	84	55	102	53	83	79	93	71	76	42	55	83	59	76	86	72	70	146	62
SYNTH0070	305	265	181	302	155	422	392	380	318	568	383	461	370	144	451	162	228	229	335
SYNTH0071	16	28	23	17	22	18	16	23	18	17	10	18	21	12	12	21	26	23	9
SYNTH0072	145	114	508	387	224	107	166	203	142	313	129	272	184	137	258	127	72	215	246
SYNTH0073	38	114	93	78	62	40	110	82	43	77	66	76	127	57	56	63	97	57	78
SYNTH0074	145	201	161	148	161	129	131	117	38	55	127	185	170	166	111	237	273	96	191
SYNTH0075	204	139	229	122	113	176	177	148	116	151	80	148	82	68	185	93	103	134	157
SYNTH0076	56	55	141	95	126	113	157	37	110	94	121	119	224	157	48	125	124	120	41
SYNTH0077	247	190	203	328	429	116	97	157	252	147	350	166	121	200	192	326	286	365	229
SYNTH0078	16	25	33	11	13	25	22	24	24	9	15	18	16	18	34	26	39	15	24
SYNTH0079	218	94	88	158	156	102	94	117	151	77	177	67	69	285	98	137	129	158	62
SYNTH0080	365	253	301	214	492	563	601	428	613	207	448	197	441	329	539	319	262	372	334
SYNTH0081	289	187	553	323	202	462	206	354	409	161	338	325	520	627	487	418	676	505	141
SYNTH0082	9	13	3	9	9	4	7	5	6	7	4	4	5	2	10	5	9	5	12
SYNTH0083	85	53	96	124	72	28	68	64	100	123	188	249	141	164	237	250	128	195	290
SYNTH0084	118	179	344	216	211	113	303	213	310	151	253	123	206	242	149	522	184	191	298
SYNTH0085	332	165	331	120	356	151	521	232	555	450	319	146	504	377	188	196	419	273	148
SYNTH0086	17	28	34	77	44	56	21	56	20	35	20	55	64	56	48	44	71	43	30
SYNTH0087	9	31	23	23	55	8	41	16	22	14	26	32	13	11	6	19	27	59	8
SYNTH0088	372	382	493	230	452	373	708	528	515	532	337	121	234	116	197	53	141	287	200
SYNTH0089	42	45	57	103	78	128	96	63	208	123	104	63	55	112	160	54	119	110	30
SYNTH0090	61	56	52	37	35	33	17	61	34	16	39	37	15	52	47	20	51	16	62
SYNTH0091	245	67	186	42	185	113	126	218	148	129	74	148	217	71	244	97	126	109	137
SYNTH0092	84	109	122	68	105	82	276	151	128	83	32	206	51	95	269	100	141	65	54
SYNTH0093	14	61	30	46	50	29	28	63	31	39	49	42	30	30	55	36	36	19	58
SYNTH0094	267	253	230	230	337	323	143	532	232	166	305	330	564	195	224	242	221	242	317
SYNTH0095	1309	789	330	291	520	456	287	450	471	566	369	465	774	533	202	439	182	258	396
SYNTH0096	3	18	11	9	8	5	11	17	7	5	10	4	13	4	23	5	11	9	16
SYNTH0097	97	230	134	118	175	140	148	102	197	136	308	113	170	62	230	72	149	98	117
SYNTH0098	10	16	17	23	25	42	30	29	20	10	13	3	9	22	22	38	29	13	30
SYNTH0099	260	309	665	354	470	292	560	201	401	139	411	208	434	173	570	588	242	279	258
SYNTH0100	46	9	20	24	34	9	20	43	29	21	12	43	32	17	43	25	46	55	20
SYNTH0101	16	15	23	17	4	2	21	10	13	11	15	6	14	15	18	19	11	6	14
SYNTH0102	54	18	63	26	32	50	43	40	26	96	34	22	26	35	59	59	54	69	48
SYNTH0103	279	529	303	408	443	330	103	376	624	279	238	320	301	258	179	96	163	300	291
SYNTH0104	27	12	18	45	39	16	23	20	11	35	48	29	11	29	23	16	38	11	10
SYNTH0105	102	179	102	60	99	210	98	97	167	118	66	100	84	87	153	172	146	133	158
SYNTH0106	421	234	200	489	178	290	313	637	314	311	493	479	260	276	479	294	223	366	259
SYNTH0107	30	125	23	89	87	129	111	44	234	52	109	34	22	17	71	70	68	40	45
SYNTH0108	35	51	42	48	70	52	25	28	40	37	54	29	38	100	102	106	47	68	41
SYNTH0109	18	11	20	11	13	23	9	23	15	5	27	8	34	22	12	36	24	35	29
SYNTH0110	18	14	11	7	7	12	0	13	1	13	8	12	28	0	6	5	6	3	16
SYNTH0111	104	142	58	114	107	57	83	140	156	112	196	155	133	176	60	139	109	177	187
SYNTH0112	51	27	55	48	12	51	26	49	24	22	49	33	55	43	21	32	41	50	51
SYNTH0113	72	46	40	21	48	40	64	32	51	49	109	136	23	36	24	47	31	50	39
SYNTH0114	50	34	45	19	22	22	47	13	4	16	56	36	25	42	27	34	44	34	18
SYNTH0115	25	13	11	52	27	26	39	39	33	23	14	25	10	39	21	14	11	28	13
SYNTH0116	330	281	300	168	91	165	90	456	311	128	336	265	265	325	544	254	393	342	224
SYNTH0117	31	39	18	46	6	34	62	22	55	44	83	103	43	33	29	44	32	39	89
SYNTH0118	26	42	43	24	36	49	15	31	43	22	16	5	36	49	30	28	57	22	38
SYNTH0119	90	73	48	23	86	53	70	60	26	22	53	16	59	18	49	105	77	44	56
SYNTH0120	46	15	24	14	17	55	18	46	22	24	24	11	51	50	25	37	24	15	47
SYNTH0121	144	145	136	204	238	59	206	148	174	138	133	106	133	133	94	142	158	96	223
SYNTH0122	209	242	280	332	157	110	404	212	174	181	263	236	273	505	357	257	379	495	264
SYNTH0123	28	35	37	109	63	43	74	8	49	41	52	69	64	108	62	47	83	82	80
SYNTH0124	62	8	28	18	54	35	27	47	112	44	37	38	46	57	21	78	33	65	44
SYNTH0125	246	206	125	119	217	140	97	159	83	126	229	487	111	246	90	270	149	142	163
SYNTH0126	513	285	378	562	349	424	326	331	217	268	323	224	267	130	387	556	270	301	123
SYNTH0127	97	91	79	127	129	82	60	128	95	85	109	72	59	65	42	48	129	90	105
SYNTH0128	27	20	26	12	51	9	44	16	23	26	27	13	51	32	41	20	24	19	21
SYNTH0129	7	9	8	4	5	9	4	10	10	4	4	26	10	24	16	45	22	5	13
SYNTH0130	54	24	23	33	28	12	46	16	38	20	20	28	27	23	29	37	41	50	47
SYNTH0131	279	783	403	230	189	343	207	614	417	275	552	288	601	296	489	791	397	416	879
SYNTH0132	226	365	641	269	464	238	182	264	570	242	390	100	170	201	363	248	221	155	289
SYNTH0133	229	124	187	258	157	90	261	66	179	80	244	121	69	287	272	223	407	219	526
SYNTH0134	515	442	297	604	694	433	1069	675	167	697	505	385	374	548	391	344	308	520	369
SYNTH0135	20	27	24	10	14	26	25	6	1	8	40	12	16	26	8	13	7	15	7
SYNTH0136	461	655	391	505	271	385	462	517	390	290	249	113	102	110	472	197	288	138	111
SYNTH0137	12	22	13	4	9	6	13	27	16	11	14	12	7	13	10	7	4	10	5
SYNTH0138	102	104	85	54	89	143	95	61	75	113	88	75	44	106	63	146	76	143	66
SYNTH0139	12	13	18	12	10	14	15	18	23	10	8	21	7	28	19	17	22	12	14
SYNTH0140	87	216	219	108	114	135	237	127	76	141	161	207	255	118	196	152	63	117	196
SYNTH0141	13	27	24	29	16	14	8	6	32	25	28	21	10	22	11	18	22	10	38
SYNTH0142	112	109	94	118	147	166	81	113	108	89	240	113	130	219	89	264	144	161	139
SYNTH0143	326	145	168	142	184	226	234	185	228	116	104	244	300	119	201	222	101	176	172
SYNTH0144	40	47	39	61	66	48	48	35	12	13	76	48	136	135	170	108	83	202	190
SYNTH0145	4	10	3	5	7	11	9	5	6	3	9	5	7	8	7	7	7	10	14
SYNTH0146	776	982	588	710	412	225	807	796	743	422	286	294	254	212	271	374	664	211	429
SYNTH0147	13	32	10	16	28	19	25	42	11	72	29	17	22	19	13	26	18	24	22
SYNTH0148	379	89	219	199	97	105	290	200	144	185	203	131	143	254	148	251	196	265	157
SYNTH0149	64	58	22	41	26	29	26	22	30	21	22	32	39	47	107	39	40	37	40
SYNTH0150	148	130	250	164	127	243	291	459	172	318	179	228	314	514	302	264	333	305	170
SYNTH0151	25	23	5	11	11	8	14	28	17	16	25	11	9	5	20	16	13	6	2
SYNTH0152	85	40	134	41	159	66	104	44	128	166	49	83	117	124	74	84	105	74	38
SYNTH0153	38	56	28	44	19	28	45	28	29	28	18	20	61	18	13	43	19	63	47
SYNTH0154	395	514	398	102	275	361	211	580	283	457	462	173	361	312	307	186	296	219	195
SYNTH0155	85	73	61	88	58	35	98	78	60	83	69	19	133	91	154	60	44	50	22
SYNTH0156	199	156	238	214	230	410	225	320	145	185	84	64	124	136	166	83	44	114	92
SYNTH0157	22	1	6	12	20	7	7	17	22	6	5	20	20	10	14	15	12	15	12
SYNTH0158	9	6	13	6	7	5	0	6	1	9	16	11	13	6	2	7	13	8	9
SYNTH0159	91	310	177	194	189	102	109	131	214	123	159	85	158	79	123	250	299	194	129
SYNTH0160	151	102	113	174	223	275	181	124	182	177	164	681	258	340	342	299	518	215	213
SYNTH0161	21	36	5	44	25	39	30	25	26	33	26	80	72	58	70	84	31	81	87
SYNTH0162	170	101	32	73	104	41	118	77	221	118	46	156	100	71	116	150	109	112	44
SYNTH0163	69	109	78	92	105	151	63	42	66	105	117	161	92	89	166	207	68	146	238
SYNTH0164	109	112	88	48	49	55	23	20	65	48	64	104	70	68	47	59	110	93	63
SYNTH0165	452	215	265	489	178	207	324	138	463	393	405	343	118	138	333	214	144	352	197
SYNTH0166	19	29	18	30	36	28	21	6	39	22	37	39	12	19	13	28	27	11	40
SYNTH0167	211	138	424	246	267	225	33	167	470	352	132	213	521	266	510	224	418	342	335
SYNTH0168	48	92	245	224	411	144	171	254	140	62	122	203	96	122	218	133	206	211	159
SYNTH0169	167	253	328	131	189	369	429	323	170	284	153	265	359	147	270	299	306	147	201
SYNTH0170	84	70	92	87	50	41	44	38	22	64	90	33	55	24	31	22	101	33	74
SYNTH0171	7	1	3	9	2	5	10	9	9	11	4	8	5	15	9	10	11	9	4
SYNTH0172	284	87	110	75	247	258	298	169	560	177	161	217	201	160	245	256	315	247	115
SYNTH0173	9	32	5	18	29	30	16	13	22	24	22	20	21	8	40	21	25	30	28
SYNTH0174	259	191	266	116	252	287	364	93	100	119	143	366	225	168	256	299	211	239	201
SYNTH0175	38	23	46	28	25	11	14	29	18	28	13	19	18	20	30	21	18	31	21
SYNTH0176	334	177	471	334	521	200	537	318	733	726	427	488	270	572	419	453	253	444	57
SYNTH0177	108	144	126	99	162	130	98	99	150	61	94	114	154	164	143	105	86	79	126
SYNTH0178	543	274	420	430	285	503	187	254	394	156	367	228	258	381	134	482	397	537	146
SYNTH0179	26	18	21	22	15	18	11	29	35	32	19	26	6	24	18	35	11	13	18
SYNTH0180	92	65	146	56	45	149	77	66	86	61	257	53	95	69	45	149	64	78	13
SYNTH0181	319	261	167	336	117	297	265	198	72	236	413	190	570	157	270	212	228	297	208
SYNTH0182	9	9	8	15	5	9	7	23	9	16	20	3	9	14	9	24	6	7	19
SYNTH0183	149	100	127	70	133	103	112	139	72	164	84	135	68	144	67	55	137	129	117
SYNTH0184	583	451	401	211	373	339	176	280	280	663	331	612	388	713	360	210	500	465	548
SYNTH0185	248	223	159	237	294	174	195	139	233	205	128	78	66	33	93	49	50	77	49
SYNTH0186	46	166	53	141	160	75	149	110	68	45	160	114	102	87	71	167	51	73	102
SYNTH0187	23	3	8	3	8	9	7	9	8	10	17	11	35	7	14	10	13	19	10
SYNTH0188	236	155	384	269	325	288	455	151	524	133	440	203	519	135	444	267	185	323	228
SYNTH0189	791	577	553	714	508	718	581	571	209	320	434	526	339	501	428	363	593	432	366
SYNTH0190	18	47	21	18	39	19	29	24	31	25	23	22	34	15	6	27	43	34	29
SYNTH0191	154	187	76	172	124	123	209	77	230	200	247	271	93	115	76	283	67	91	64
SYNTH0192	15	4	14	26	16	19	6	2	9	6	15	14	21	15	22	11	10	20	15
SYNTH0193	10	10	27	5	8	5	12	13	8	17	10	13	20	13	25	23	14	10	30
SYNTH0194	226	271	189	178	151	133	144	130	163	147	66	119	96	188	196	107	185	108	141
SYNTH0195	14	8	9	9	10	9	8	3	16	16	17	10	8	5	8	9	12	15	10
SYNTH0196	10	8	7	7	5	5	3	26	13	11	7	4	23	30	15	8	4	11	9
SYNTH0197	70	200	261	40	153	70	151	109	174	161	136	136	113	89	126	182	66	168	27
SYNTH0198	10	21	7	3	8	8	23	13	15	28	7	0	9	9	17	15	14	8	18
SYNTH0199	16	32	17	22	36	28	43	25	35	66	27	30	51	37	24	59	37	26	32
SYNTH0200	289	65	90	356	214	278	145	219	308	73	156	291	196	111	146	146	252	196	304
SYNTH0201	151	306	59	62	176	124	188	74	143	168	302	157	395	168	359	130	455	477	259
