gene	studyA_case01	studyA_case02	studyA_case03	studyA_case04	studyA_case05	studyA_case06	studyA_case07	studyA_case08	studyA_ctrl01	studyA_ctrl02	studyA_ctrl03	studyA_ctrl04	studyA_ctrl05	studyA_ctrl06	studyA_ctrl07	studyA_ctrl08
SYNTH0016	4	7	7	4	12	5	4	3	7	8	1	11	9	13	9	3
SYNTH0017	5	15	9	13	21	13	6	4	6	7	6	16	5	8	6	9
SYNTH0018	269	391	442	543	388	311	719	500	653	417	434	500	331	354	167	567
SYNTH0019	5	7	12	8	11	5	6	11	20	3	11	8	12	9	8	11
SYNTH0020	13	18	28	23	10	22	19	20	15	25	22	14	34	30	16	20
SYNTH0021	47	20	47	35	21	27	44	28	62	26	43	46	23	28	44	61
SYNTH0022	232	218	203	132	210	251	247	321	237	419	279	295	364	554	163	212
SYNTH0023	69	100	72	225	103	139	66	273	88	57	96	124	111	102	182	55
SYNTH0024	43	30	48	46	18	35	50	19	95	18	39	7	19	40	42	73
SYNTH0025	68	56	29	58	22	38	37	98	24	49	31	22	39	20	28	24
SYNTH0026	74	75	60	22	64	141	152	34	81	88	39	82	83	104	56	106
SYNTH0027	42	44	47	41	22	24	64	76	69	38	31	60	83	41	57	37
SYNTH0028	142	111	87	124	77	90	102	159	118	89	187	143	91	164	96	125
SYNTH0029	16	11	12	17	20	15	4	17	20	24	14	10	13	14	18	13
SYNTH0030	11	4	14	14	26	11	20	23	17	6	5	14	10	30	9	19
SYNTH0031	6	8	13	8	21	5	9	12	5	7	7	12	15	19	9	0
SYNTH0032	16	6	20	12	12	12	12	14	9	8	25	12	22	9	31	10
SYNTH0033	33	22	38	27	15	25	8	32	13	41	37	25	27	27	12	25
SYNTH0034	16	3	6	0	7	7	8	17	8	6	3	9	5	6	11	3
SYNTH0035	61	40	42	67	69	72	80	52	108	194	205	129	224	215	234	107
SYNTH0036	4	13	2	8	7	7	10	4	4	18	0	9	11	8	0	5
SYNTH0037	31	67	56	44	19	11	26	38	20	39	37	29	25	32	19	60
SYNTH0038	39	26	30	29	29	116	48	67	56	40	61	59	55	76	32	56
SYNTH0039	208	243	269	404	285	272	588	257	113	365	355	90	303	224	286	319
SYNTH0040	68	72	69	82	49	20	71	93	52	40	67	51	60	58	48	123
SYNTH0041	277	121	198	220	177	306	360	236	246	156	144	158	122	82	182	127
SYNTH0042	80	70	19	71	53	69	72	53	25	63	121	23	32	51	84	34
SYNTH0043	56	57	51	33	55	37	68	49	61	33	80	35	22	44	50	18
SYNTH0044	15	5	21	6	5	18	2	13	19	6	9	7	11	6	3	6
SYNTH0045	107	166	24	142	183	98	70	121	51	36	40	53	40	68	60	46
SYNTH0046	180	161	252	195	133	155	307	359	226	309	193	459	348	213	195	152
SYNTH0047	278	178	397	205	217	177	280	151	103	147	97	234	191	35	144	228
SYNTH0048	11	7	8	3	10	8	11	4	7	7	5	9	5	13	5	18
SYNTH0049	58	24	44	36	48	58	22	49	39	16	88	20	61	41	24	38
SYNTH0050	113	186	57	77	122	80	72	95	82	85	61	47	83	106	82	87
SYNTH0051	279	410	598	161	231	555	401	162	344	925	386	398	750	331	630	168
SYNTH0052	384	308	377	727	432	273	153	365	449	410	386	363	320	439	476	552
SYNTH0053	37	47	27	13	34	71	23	20	29	45	53	19	24	44	40	19
SYNTH0054	629	263	221	534	317	518	213	702	644	327	257	557	665	485	421	252
SYNTH0055	29	34	7	20	22	15	31	11	20	37	28	78	33	78	41	57
SYNTH0056	234	255	324	434	366	358	453	410	108	273	357	294	238	393	415	289
SYNTH0057	155	127	80	111	137	151	175	98	205	84	100	182	36	169	57	152
SYNTH0058	20	15	18	10	8	16	10	29	28	39	20	14	17	25	24	7
SYNTH0059	258	151	238	371	145	156	90	302	224	232	356	143	168	368	260	156
SYNTH0060	245	204	150	142	247	36	121	99	71	72	201	77	90	110	122	89
SYNTH0061	784	294	348	177	249	581	660	231	149	653	413	266	345	341	166	265
SYNTH0062	17	29	44	24	17	30	41	40	10	64	18	27	44	16	34	33
SYNTH0063	7	8	17	9	5	14	18	7	9	7	13	7	5	11	9	28
SYNTH0064	68	46	82	71	59	78	64	39	60	25	22	59	83	66	69	88
SYNTH0065	33	55	39	53	44	65	28	28	29	35	16	71	40	25	24	38
SYNTH0066	31	14	37	23	39	27	32	32	21	19	22	16	16	26	21	20
SYNTH0067	17	15	30	14	18	19	41	10	14	8	8	12	8	5	1	14
SYNTH0068	37	113	75	166	110	145	141	58	73	164	106	158	124	162	181	162
SYNTH0069	59	121	72	43	37	80	74	45	49	76	19	31	115	100	62	39
SYNTH0070	151	187	308	301	342	213	217	168	483	197	393	123	329	186	130	199
SYNTH0071	8	6	0	6	16	20	19	12	4	23	20	16	16	5	6	13
SYNTH0072	134	242	115	257	380	243	137	152	258	253	131	239	88	407	340	365
SYNTH0073	64	64	60	35	52	36	68	79	19	57	105	34	25	66	38	58
SYNTH0074	221	60	145	44	65	70	136	68	146	91	166	145	223	35	26	117
SYNTH0075	81	196	102	74	78	66	90	64	115	98	114	90	82	128	88	137
SYNTH0076	97	46	128	147	43	51	50	65	74	77	120	84	163	44	91	53
SYNTH0077	273	174	357	244	117	146	243	170	244	202	137	509	218	130	390	131
SYNTH0078	26	19	20	22	29	26	34	6	13	28	14	18	9	21	16	12
SYNTH0079	57	70	158	75	66	138	180	119	39	105	182	127	174	73	61	190
SYNTH0080	481	586	265	306	626	799	386	206	815	212	214	215	580	148	259	403
SYNTH0081	587	309	548	393	252	309	469	278	758	217	698	201	492	470	221	85
SYNTH0082	5	6	8	8	5	4	11	7	8	7	4	4	8	13	7	13
SYNTH0083	149	27	25	106	105	40	42	33	171	180	89	76	192	189	131	258
SYNTH0084	161	162	183	158	295	209	217	106	301	131	196	245	472	53	230	129
SYNTH0085	264	267	391	181	296	318	400	119	125	549	191	256	193	292	282	165
SYNTH0086	45	32	86	59	70	62	58	48	60	39	16	23	50	27	50	31
SYNTH0087	32	26	7	25	12	37	26	20	17	14	7	19	23	9	12	50
SYNTH0088	430	474	533	198	147	404	752	229	83	243	216	273	205	128	71	199
SYNTH0089	51	102	71	94	27	54	168	64	97	110	86	43	144	98	154	70
SYNTH0090	4	40	26	15	36	30	39	35	20	36	85	11	19	26	33	29
SYNTH0091	96	59	70	110	48	158	61	176	196	158	77	58	70	107	56	136
SYNTH0092	126	65	65	91	251	56	172	223	127	157	67	184	152	174	102	49
SYNTH0093	39	22	40	27	29	14	16	23	35	19	48	57	13	33	47	29
SYNTH0094	471	262	250	130	363	222	400	200	111	285	385	192	236	120	338	213
SYNTH0095	235	588	410	290	494	389	694	171	358	330	430	494	292	565	317	166
SYNTH0096	7	10	3	7	6	13	12	7	14	0	5	14	3	2	10	23
SYNTH0097	177	161	174	81	200	123	134	168	134	148	94	92	117	119	53	127
SYNTH0098	6	12	24	18	10	23	17	15	10	18	29	15	8	15	27	21
SYNTH0099	211	154	308	166	364	270	146	180	206	264	203	292	121	225	231	192
SYNTH0100	17	20	21	6	18	30	20	19	26	27	27	9	30	23	29	21
SYNTH0101	9	11	3	13	13	6	11	13	14	14	20	19	9	0	11	19
SYNTH0102	31	83	49	42	35	59	29	70	38	33	62	41	58	77	28	45
SYNTH0103	186	307	377	509	247	550	324	428	273	427	120	105	153	197	237	117
SYNTH0104	20	31	18	42	16	12	29	19	36	28	40	65	38	12	37	22
SYNTH0105	67	140	187	107	105	239	108	150	108	114	109	151	81	90	204	127
SYNTH0106	442	122	214	228	258	171	310	203	146	343	109	308	219	154	422	275
SYNTH0107	142	79	74	81	74	108	162	105	33	49	26	45	57	25	12	49
SYNTH0108	33	21	64	54	32	23	20	34	23	67	48	34	46	51	89	15
SYNTH0109	9	13	19	7	17	17	16	26	32	42	53	18	25	18	23	36
SYNTH0110	12	10	8	0	1	10	4	10	18	8	6	17	8	1	3	9
SYNTH0111	131	159	164	157	268	42	129	84	102	269	108	131	123	98	155	59
SYNTH0112	45	10	48	26	32	18	24	7	23	37	23	67	53	45	31	52
SYNTH0113	47	19	49	29	30	44	20	62	45	50	51	47	58	43	64	21
SYNTH0114	19	20	15	60	2	22	16	17	28	28	22	23	29	45	22	45
SYNTH0115	16	9	32	21	13	27	26	4	7	16	13	34	10	16	27	6
SYNTH0116	269	96	264	225	305	350	324	250	282	423	283	219	368	201	165	165
SYNTH0117	33	27	66	12	25	64	64	53	81	22	25	35	63	59	102	43
SYNTH0118	16	29	26	14	25	11	27	43	57	37	13	40	13	19	43	30
SYNTH0119	17	63	69	70	85	26	48	64	33	58	79	10	43	23	36	60
SYNTH0120	42	39	50	28	24	30	31	28	19	21	31	20	25	22	25	34
SYNTH0121	70	93	138	171	136	237	204	115	236	141	92	75	198	249	189	193
SYNTH0122	420	266	72	417	184	112	163	84	453	235	113	193	330	462	127	157
SYNTH0123	40	40	28	50	67	69	27	48	71	32	53	42	40	60	59	38
SYNTH0124	27	83	42	34	33	44	30	37	50	32	41	44	42	51	18	47
SYNTH0125	153	173	79	230	195	164	169	214	81	230	131	118	122	282	200	206
SYNTH0126	123	156	338	327	77	175	272	273	191	211	115	475	370	478	201	218
SYNTH0127	141	54	76	138	65	56	94	54	82	23	39	102	82	42	62	55
SYNTH0128	20	24	8	22	25	34	14	17	22	22	15	22	21	15	25	17
SYNTH0129	11	5	0	4	11	17	1	7	17	25	13	9	13	28	9	20
SYNTH0130	38	49	11	26	16	27	22	41	36	41	27	48	22	20	45	25
SYNTH0131	216	359	283	300	193	677	340	330	240	117	259	363	208	258	104	145
SYNTH0132	463	406	94	123	170	233	185	194	253	307	244	195	309	292	107	310
SYNTH0133	80	162	166	97	112	117	254	52	238	164	204	231	213	67	84	93
SYNTH0134	682	330	357	404	496	216	284	575	213	175	334	254	625	488	456	419
SYNTH0135	7	7	6	14	16	26	9	17	25	4	20	12	13	19	5	7
SYNTH0136	416	485	295	489	382	166	87	321	205	134	177	85	95	178	155	142
SYNTH0137	31	5	19	16	7	12	4	3	5	13	18	23	9	9	18	4
SYNTH0138	121	117	70	60	123	154	74	82	145	81	101	144	138	80	140	49
SYNTH0139	19	17	32	10	15	18	13	4	12	10	5	7	28	19	20	28
SYNTH0140	187	175	174	153	133	83	49	191	142	246	144	142	193	96	205	209
SYNTH0141	20	18	21	17	7	15	1	25	15	16	8	3	19	17	24	3
SYNTH0142	54	65	127	77	59	76	90	83	307	363	188	120	303	160	176	239
SYNTH0143	110	157	340	140	176	352	235	298	118	88	89	178	182	76	332	86
SYNTH0144	69	35	92	51	29	59	13	65	131	114	126	161	81	156	59	169
SYNTH0145	10	9	8	11	8	3	7	15	0	5	14	7	5	7	8	10
SYNTH0146	937	1363	494	557	1705	779	1043	1007	248	891	137	336	297	866	322	591
SYNTH0147	22	10	16	24	19	30	2	13	21	8	37	28	14	10	50	27
SYNTH0148	190	218	199	103	267	227	159	109	128	236	308	212	101	126	199	233
SYNTH0149	40	47	48	39	27	42	15	30	38	51	17	23	39	39	50	60
SYNTH0150	206	166	287	122	70	85	332	255	127	271	332	187	195	222	146	98
SYNTH0151	7	3	16	10	3	8	12	28	4	11	11	4	18	12	17	21
SYNTH0152	54	68	28	46	103	69	83	51	95	55	135	108	46	62	87	64
SYNTH0153	29	14	43	34	14	47	20	37	26	15	25	22	41	62	30	9
SYNTH0154	221	356	323	296	303	165	440	218	300	173	309	301	305	309	226	222
SYNTH0155	44	130	84	61	83	47	65	37	91	38	68	44	51	29	79	58
SYNTH0156	203	133	95	341	245	186	74	344	94	77	68	74	88	52	59	94
SYNTH0157	9	9	11	11	11	9	29	19	13	23	19	11	6	9	6	9
SYNTH0158	12	11	5	4	5	2	0	4	5	10	7	15	1	3	4	13
SYNTH0159	180	211	139	194	65	141	139	161	81	120	189	168	311	129	131	146
SYNTH0160	60	179	128	176	142	105	185	110	286	476	358	485	457	280	234	323
SYNTH0161	26	13	42	18	19	28	21	15	49	79	26	14	55	60	61	49
SYNTH0162	53	90	236	60	68	163	121	78	76	61	60	83	100	59	55	69
SYNTH0163	91	79	166	53	66	134	127	114	55	95	152	162	72	48	125	64
SYNTH0164	41	44	70	49	58	50	26	76	51	54	46	60	77	42	46	82
SYNTH0165	318	355	348	178	255	429	399	247	324	211	198	191	73	243	526	256
SYNTH0166	15	26	19	39	17	18	35	22	27	11	22	35	11	12	41	16
SYNTH0167	273	201	287	264	416	351	201	299	198	78	188	275	252	157	201	266
SYNTH0168	98	153	116	170	147	115	159	68	183	107	118	127	121	157	127	189
SYNTH0169	271	144	113	200	107	263	243	383	102	337	326	45	158	185	147	528
SYNTH0170	52	42	64	48	60	29	48	13	43	10	36	31	40	34	79	31
SYNTH0171	15	9	8	11	10	4	8	9	5	13	6	9	26	6	7	12
SYNTH0172	92	79	247	191	147	167	374	249	94	486	136	150	206	469	276	265
SYNTH0173	14	13	26	32	20	34	30	11	58	18	30	21	9	13	27	39
SYNTH0174	152	130	225	154	304	88	192	273	261	262	324	163	276	80	81	154
SYNTH0175	17	13	25	9	13	40	14	28	14	13	5	6	16	22	25	22
SYNTH0176	259	181	230	404	258	241	470	276	265	189	356	126	181	243	239	96
SYNTH0177	135	35	136	121	100	85	92	74	143	86	91	40	90	109	134	107
SYNTH0178	359	195	258	135	371	353	240	362	157	104	159	359	77	496	209	162
SYNTH0179	16	8	15	21	27	35	8	19	15	15	10	58	11	9	22	23
SYNTH0180	139	94	46	85	87	93	49	88	98	91	44	31	54	73	58	85
SYNTH0181	164	168	206	186	167	285	144	190	110	165	233	243	78	120	219	308
SYNTH0182	3	6	11	4	12	1	10	9	12	18	8	5	6	4	6	10
SYNTH0183	115	45	51	59	156	140	75	96	108	96	80	51	159	104	86	110
SYNTH0184	188	319	493	510	326	449	345	284	619	201	279	281	244	259	237	177
SYNTH0185	278	131	379	77	89	374	275	129	69	123	38	81	102	60	61	107
SYNTH0186	87	51	110	97	106	98	48	85	100	87	37	102	61	77	99	58
SYNTH0187	2	6	6	20	4	18	4	12	8	14	12	19	21	10	7	6
SYNTH0188	213	255	312	183	160	141	143	338	207	181	97	116	119	119	132	162
SYNTH0189	1018	753	225	342	444	394	690	312	500	613	249	338	425	158	299	288
SYNTH0190	48	30	55	64	27	26	37	34	22	16	5	44	33	37	29	21
SYNTH0191	73	63	60	164	70	177	83	82	141	86	97	112	140	93	64	137
SYNTH0192	10	18	3	19	16	3	17	5	12	10	31	14	14	7	12	12
SYNTH0193	11	20	13	24	14	11	16	11	4	24	8	9	10	14	11	14
SYNTH0194	151	122	108	106	102	164	163	134	231	71	102	155	129	71	87	98
SYNTH0195	2	13	14	1	9	4	16	8	3	12	12	4	10	7	3	8
SYNTH0196	9	14	16	5	13	7	10	11	9	13	6	11	3	8	7	18
SYNTH0197	115	89	265	214	134	129	83	115	51	116	133	97	136	139	90	165
SYNTH0198	10	9	18	9	3	20	15	3	2	8	8	10	11	5	9	15
SYNTH0199	49	10	12	26	19	50	45	32	29	15	16	12	21	38	42	9
SYNTH0200	186	226	192	157	228	210	198	126	48	183	255	129	185	109	251	200
SYNTH0201	152	83	131	145	225	71	148	121	476	239	179	131	158	251	182	275
SYNTH0202	535	498	506	166	382	476	339	350	315	423	173	358	201	384	520	492
SYNTH0203	65	76	39	17	50	19	30	31	30	38	52	37	29	44	44	24
SYNTH0204	39	50	86	69	241	53	109	63	117	211	116	83	189	35	89	78
SYNTH0205	17	21	26	32	33	17	17	18	48	54	45	39	37	11	40	38
SYNTH0206	36	25	73	65	24	120	57	72	14	41	19	81	44	28	35	37
SYNTH0207	81	25	59	50	56	48	53	78	82	90	69	42	50	30	83	60
SYNTH0208	75	63	61	42	90	123	48	57	35	35	50	14	13	43	15	29
SYNTH0209	25	30	11	13	18	16	20	38	12	38	13	21	27	11	28	7
SYNTH0210	408	362	214	481	100	430	363	289	354	519	550	188	371	205	805	342
SYNTH0211	89	162	151	91	108	90	22	92	132	137	88	70	143	152	83	103
SYNTH0212	9	12	6	18	13	15	8	3	15	15	8	6	7	13	7	1
SYNTH0213	10	17	11	30	7	20	5	18	8	16	16	7	15	13	17	35
SYNTH0214	96	91	63	63	48	84	76	138	104	81	55	101	42	59	72	90
SYNTH0215	117	145	311	151	166	46	63	204	96	139	157	62	249	61	143	187
SYNTH0216	177	111	154	171	112	285	112	133	64	123	115	221	120	111	159	97
SYNTH0217	422	416	749	196	384	991	723	276	551	230	629	616	255	394	469	484
SYNTH0218	39	44	15	7	32	12	30	19	16	31	10	23	15	15	26	20
SYNTH0219	107	32	36	64	64	71	101	52	144	50	51	38	43	145	106	79
SYNTH0220	83	85	84	72	80	93	100	99	62	102	174	110	56	116	86	134
SYNTH0221	9	11	8	5	6	3	12	3	10	7	4	12	12	9	17	7
SYNTH0222	171	208	223	267	382	126	124	166	216	123	238	244	305	128	273	146
SYNTH0223	27	14	19	13	9	32	34	16	11	15	12	30	18	15	40	16
SYNTH0224	12	26	22	20	18	18	23	10	23	42	12	15	17	15	15	10
SYNTH0225	5	26	19	27	17	28	17	14	26	14	18	8	26	21	37	31
SYNTH0226	398	201	271	338	323	245	656	302	552	629	594	214	331	393	284	726
SYNTH0227	0	4	32	10	13	11	7	6	13	1	30	15	16	6	8	19
SYNTH0228	16	12	21	24	47	28	63	31	28	17	13	15	24	34	34	61
SYNTH0229	68	127	34	37	51	39	38	55	113	38	44	34	29	40	63	18
SYNTH0230	31	43	49	84	37	26	103	62	13	105	73	103	52	34	31	42
SYNTH0231	182	267	219	244	188	138	154	177	170	292	130	160	104	129	156	177
SYNTH0232	172	130	174	185	216	168	274	152	89	184	168	245	123	192	210	93
SYNTH0233	30	31	34	53	20	28	53	53	44	60	62	52	48	42	19	47
SYNTH0234	38	9	33	48	19	34	30	29	19	42	34	23	27	3	30	29
SYNTH0235	192	42	63	48	111	59	109	37	55	13	108	56	100	70	39	66
SYNTH0236	63	64	87	53	62	40	106	127	51	56	134	56	44	31	58	68
SYNTH0237	7	4	4	12	14	8	7	6	7	9	1	1	11	15	14	16
SYNTH0238	58	62	16	11	38	10	37	31	7	7	15	11	17	7	21	11
SYNTH0239	1	1	6	17	5	9	8	4	7	4	13	6	13	4	7	9
SYNTH0240	26	49	33	58	29	75	29	52	20	74	31	51	50	23	56	36
SYNTH0241	262	99	150	95	168	199	167	68	57	210	174	159	121	210	65	126
SYNTH0242	32	47	52	41	109	69	93	35	73	36	89	50	94	56	99	46
SYNTH0243	9	22	4	10	6	6	13	10	12	8	7	3	20	6	8	14
SYNTH0244	131	70	88	214	113	149	127	127	132	19	118	61	96	141	157	49
SYNTH0245	169	84	178	78	156	160	55	115	98	73	180	88	119	130	174	99
SYNTH0246	11	29	13	21	21	16	17	21	8	29	9	8	13	12	18	9
SYNTH0247	43	37	19	22	32	33	23	5	20	26	26	23	17	27	26	12
SYNTH0248	562	346	294	162	454	235	184	540	299	313	178	386	566	218	304	303
