gene	studyB_case01	studyB_case02	studyB_case03	studyB_case04	studyB_case05	studyB_case06	studyB_ctrl01	studyB_ctrl02	studyB_ctrl03	studyB_ctrl04	studyB_ctrl05	studyB_ctrl06	studyB_ctrl07
SYT1	365	832	320	366	209	316	510	322	525	315	326	156	869
NEFL	106	171	229	107	65	133	153	112	101	136	116	173	224
NEFM	424	265	274	557	390	277	202	144	488	432	292	555	581
NEFH	114	172	131	33	90	57	91	175	42	115	152	119	77
GFAP	18	14	6	10	32	31	7	22	14	36	13	14	11
AIF1	26	21	19	2	10	7	9	26	7	25	12	25	12
CD68	55	31	28	31	27	34	16	53	38	28	50	55	26
TNF	39	62	91	51	56	114	110	118	181	139	153	93	60
IL1B	834	1076	719	283	463	704	311	311	489	403	725	303	322
IL6	579	861	858	775	813	703	754	877	572	543	347	676	324
CXCL8	409	419	243	346	413	563	582	479	304	309	382	729	246
CCL2	856	889	544	1036	690	989	1223	616	945	348	895	1084	875
NFKBIA	2158	736	478	1087	1210	2129	342	675	1123	679	877	468	545
RELA	40	72	33	22	48	38	10	14	25	14	16	8	29
TP53	237	216	145	197	297	211	177	349	125	81	325	95	210
MDM2	18	20	13	12	11	2	7	10	15	14	17	12	27
CDKN1A	143	132	108	66	138	133	61	36	97	61	45	21	44
BAX	143	165	213	356	360	199	221	477	186	101	232	253	78
BCL2	147	99	139	143	169	105	127	151	76	216	154	186	121
CASP3	11	28	13	3	17	21	9	13	10	7	8	12	29
CASP9	72	18	20	20	74	20	46	23	29	12	30	36	15
PARP1	45	72	43	69	50	58	64	95	49	122	61	46	25
ATM	9	17	28	17	20	16	28	22	28	39	20	23	12
ATR	546	1386	774	238	766	442	196	312	299	257	376	364	358
BRCA1	3	7	14	3	12	7	15	14	6	12	18	21	23
BRCA2	249	293	234	259	138	184	169	66	163	76	142	81	127
RAD51	71	112	153	177	168	129	40	22	49	62	23	31	41
XRCC1	114	92	68	81	56	148	134	78	34	42	38	137	45
ERCC1	6	7	10	17	11	7	23	20	19	22	17	61	19
MKI67	77	109	65	74	38	86	147	73	150	198	132	84	116
PCNA	364	547	459	856	445	104	302	614	615	503	566	323	777
CCND1	34	102	60	47	72	51	37	32	69	17	51	18	13
CCNE1	642	1020	777	575	452	951	489	1165	623	526	574	544	849
CDK2	214	542	475	720	638	744	522	976	581	664	653	477	331
CDK4	60	25	30	32	46	39	7	40	13	12	54	34	39
CDK6	8	8	7	13	11	10	9	10	4	1	13	11	14
RB1	664	604	288	272	354	656	539	400	511	401	351	323	618
E2F1	1	6	6	13	1	0	23	8	12	14	22	7	8
MYC	206	180	153	120	136	78	96	82	112	135	200	135	58
MAX	48	74	63	132	110	151	72	48	57	45	60	100	14
JUN	57	20	33	60	53	126	81	48	51	72	27	53	70
FOS	245	230	474	332	344	507	471	264	684	297	661	362	218
EGR1	32	50	26	26	15	29	7	44	45	15	16	49	13
ATF3	215	199	216	239	161	84	149	121	189	178	122	149	254
STAT1	80	45	40	46	53	80	76	57	100	112	57	35	53
STAT3	99	135	101	56	61	78	226	78	115	150	47	102	46
STAT5A	20	37	49	34	49	68	57	22	22	70	71	79	25
JAK1	22	28	35	44	38	49	31	46	34	86	59	57	21
JAK2	118	93	148	283	85	112	211	169	100	115	110	92	220
SOCS1	73	75	33	70	65	57	57	70	31	26	73	28	42
SOCS3	42	36	46	103	29	29	20	37	42	69	42	37	40
IRF1	198	107	70	230	93	204	186	208	185	161	159	137	255
SYNTH0001	133	195	205	153	206	180	126	146	184	116	89	197	164
SYNTH0002	602	349	1009	577	334	304	535	282	477	366	508	815	594
SYNTH0003	44	19	9	30	20	24	57	10	24	46	21	26	16
SYNTH0004	303	403	220	481	257	521	305	327	377	247	148	382	331
SYNTH0005	34	41	73	78	41	40	32	68	74	55	41	61	51
SYNTH0006	10	15	24	12	23	16	14	16	10	14	23	14	14
SYNTH0007	397	109	191	93	124	155	308	476	241	305	564	204	606
SYNTH0008	6	11	14	12	10	15	39	2	25	27	12	19	20
SYNTH0009	18	6	34	11	4	11	18	14	13	7	10	31	11
SYNTH0010	580	640	747	638	487	346	700	401	335	249	343	340	805
SYNTH0011	40	46	12	26	24	34	9	10	10	7	10	26	6
SYNTH0012	15	7	3	23	13	11	26	12	27	33	40	9	10
SYNTH0013	34	34	3	19	26	17	17	25	26	15	10	39	52
SYNTH0014	36	55	85	75	66	77	41	71	43	63	24	88	77
SYNTH0015	27	31	34	33	34	26	43	29	44	38	31	31	39
SYNTH0016	10	10	1	10	19	7	22	17	11	10	16	19	5
SYNTH0017	13	25	10	25	22	11	9	5	13	13	11	13	21
SYNTH0018	528	377	507	531	580	343	493	979	644	306	446	423	314
SYNTH0019	4	4	4	7	13	5	10	21	12	9	6	12	20
SYNTH0020	12	30	26	9	31	72	20	22	41	45	60	31	39
SYNTH0021	53	63	122	37	72	42	17	62	22	37	61	76	55
SYNTH0022	320	565	446	485	415	191	613	328	218	331	320	247	224
SYNTH0023	151	45	298	201	196	177	217	406	126	177	151	295	147
SYNTH0024	19	65	60	58	46	88	86	47	111	81	68	112	101
SYNTH0025	94	76	80	42	64	59	31	15	63	55	22	64	35
SYNTH0026	380	69	119	132	95	60	80	319	83	202	78	144	156
SYNTH0027	101	103	89	36	139	59	62	78	35	99	67	100	112
SYNTH0028	152	132	255	101	99	100	178	156	106	244	103	137	65
SYNTH0029	17	28	16	53	20	42	34	28	33	20	24	16	16
SYNTH0030	5	24	27	11	17	19	23	34	10	8	16	34	15
SYNTH0031	8	24	8	14	8	27	18	12	24	21	20	13	34
SYNTH0032	32	12	31	18	6	27	24	26	22	17	31	17	26
SYNTH0033	18	15	24	30	23	37	28	20	54	10	20	27	25
SYNTH0034	2	4	21	15	29	9	15	15	13	7	12	3	8
SYNTH0035	119	76	96	82	129	202	124	372	368	283	290	321	490
SYNTH0036	9	16	31	9	11	16	9	20	15	4	17	12	1
SYNTH0037	53	59	18	34	52	31	45	56	60	54	16	84	56
SYNTH0038	79	40	55	60	61	74	80	115	81	125	48	35	27
SYNTH0039	479	756	348	271	336	535	532	348	430	906	941	365	601
SYNTH0040	83	73	69	49	100	98	129	173	98	87	114	49	63
SYNTH0041	308	281	445	209	361	223	277	180	148	293	357	182	178
SYNTH0042	65	140	18	46	81	40	77	51	60	118	80	161	124
SYNTH0043	103	55	22	23	40	90	51	88	77	85	18	39	88
SYNTH0044	24	15	25	18	18	12	36	25	31	9	22	5	25
SYNTH0045	331	112	284	204	161	110	77	75	66	148	35	45	127
SYNTH0046	365	174	142	177	217	329	143	256	199	517	288	457	141
SYNTH0047	425	247	589	729	1107	548	213	154	134	138	211	147	242
SYNTH0048	16	10	18	9	26	27	13	4	8	11	19	28	19
SYNTH0049	86	81	16	84	72	61	62	39	50	59	44	45	44
SYNTH0050	91	140	99	195	149	121	110	228	159	95	158	140	190
SYNTH0051	254	361	624	525	322	463	392	454	867	437	486	681	278
SYNTH0052	446	572	290	520	836	743	525	873	812	491	485	589	352
SYNTH0053	39	35	15	97	30	58	48	39	48	51	88	70	36
SYNTH0054	429	543	1044	818	1358	784	1034	1175	349	596	806	474	630
SYNTH0055	12	49	32	33	32	17	87	167	58	49	66	50	62
SYNTH0056	332	581	311	559	531	228	377	551	342	494	535	169	177
SYNTH0057	141	183	83	241	208	200	237	107	115	230	277	210	119
SYNTH0058	18	38	18	28	8	33	28	18	26	42	40	24	23
SYNTH0059	207	290	151	245	309	262	158	198	230	172	253	388	261
SYNTH0060	192	190	413	212	208	268	130	289	200	312	104	101	54
SYNTH0061	791	439	547	288	644	448	234	365	445	262	364	532	439
SYNTH0062	60	50	147	80	37	48	42	28	86	42	19	49	65
SYNTH0063	12	8	10	17	7	13	13	3	6	24	17	19	9
SYNTH0064	82	61	107	125	59	123	44	70	94	85	78	71	68
SYNTH0065	77	59	46	27	38	59	67	40	33	80	35	102	99
SYNTH0066	34	9	18	33	59	11	33	41	44	28	29	29	21
SYNTH0067	6	29	12	42	28	37	6	4	6	17	16	12	6
SYNTH0068	243	318	204	147	105	270	127	320	170	169	218	103	143
SYNTH0069	117	43	44	51	90	76	93	32	41	59	142	58	57
SYNTH0070	270	505	213	215	271	206	370	518	432	249	343	350	178
SYNTH0071	31	11	23	13	21	31	30	10	30	28	8	33	20
SYNTH0072	147	357	202	243	91	107	521	251	344	154	207	109	313
SYNTH0073	145	141	52	93	110	127	80	142	102	129	29	45	76
SYNTH0074	128	188	317	137	261	195	226	156	174	213	134	108	208
SYNTH0075	123	310	53	127	169	326	115	160	278	227	140	266	51
SYNTH0076	209	134	49	128	172	119	92	142	97	70	45	29	127
SYNTH0077	197	161	336	139	79	187	426	503	221	247	755	87	518
SYNTH0078	32	16	23	42	26	7	56	19	30	39	22	56	34
SYNTH0079	107	105	152	110	137	109	232	162	127	238	212	191	263
SYNTH0080	517	389	570	667	765	464	1109	282	493	637	721	582	569
SYNTH0081	752	518	400	525	642	647	715	449	307	414	518	513	770
SYNTH0082	13	16	1	4	4	10	4	18	12	9	10	9	5
SYNTH0083	133	36	225	89	133	99	203	198	317	157	656	273	190
SYNTH0084	497	162	291	460	184	223	355	250	442	511	332	288	190
SYNTH0085	345	499	297	396	322	328	167	372	166	748	304	354	653
SYNTH0086	75	78	35	42	131	45	35	38	108	107	79	55	39
SYNTH0087	36	10	43	47	45	27	43	46	15	29	15	20	22
SYNTH0088	503	489	937	531	775	618	343	219	319	51	242	241	257
SYNTH0089	216	197	98	238	131	147	181	155	75	211	181	266	116
SYNTH0090	56	64	50	66	44	59	42	34	30	64	37	43	33
SYNTH0091	219	283	231	139	212	247	233	109	148	153	134	170	159
SYNTH0092	312	220	158	183	357	218	314	179	107	318	173	223	119
SYNTH0093	60	25	59	40	78	28	11	20	59	56	33	45	44
SYNTH0094	243	647	233	306	356	226	336	319	920	290	335	461	285
SYNTH0095	985	498	580	393	667	511	577	619	146	689	256	724	301
SYNTH0096	22	16	7	12	6	5	6	32	6	7	13	18	5
SYNTH0097	236	454	131	177	85	166	375	183	386	186	85	225	238
SYNTH0098	42	16	33	38	25	24	20	40	39	33	36	43	17
SYNTH0099	238	536	547	389	275	406	404	293	453	243	499	285	510
SYNTH0100	18	44	17	23	29	79	54	26	30	24	40	26	29
SYNTH0101	33	17	16	17	6	20	18	18	13	21	19	14	15
SYNTH0102	56	41	38	88	64	57	37	118	32	22	43	77	58
SYNTH0103	1104	789	999	874	626	661	386	364	368	275	111	268	205
SYNTH0104	25	20	12	12	47	27	41	48	35	34	20	53	15
SYNTH0105	145	87	111	156	243	143	112	124	96	118	198	155	65
SYNTH0106	614	549	332	513	224	160	327	341	644	380	383	461	565
SYNTH0107	235	187	65	140	123	132	43	137	50	43	59	88	36
SYNTH0108	92	164	36	121	48	69	105	32	47	82	30	47	24
SYNTH0109	22	16	19	14	48	15	15	45	26	26	18	18	36
SYNTH0110	16	1	4	1	18	5	10	4	11	9	17	5	16
SYNTH0111	137	68	216	43	236	174	128	119	220	91	210	167	134
SYNTH0112	63	86	42	79	61	13	49	26	50	45	27	34	69
SYNTH0113	74	36	70	87	60	46	77	98	11	84	74	40	57
SYNTH0114	29	48	27	46	31	27	23	66	64	36	5	30	30
SYNTH0115	38	21	44	35	22	37	29	21	18	19	31	15	37
SYNTH0116	384	557	441	561	214	352	249	361	339	391	859	336	486
SYNTH0117	73	78	154	61	107	95	119	49	47	100	60	47	134
SYNTH0118	36	46	59	42	26	29	31	30	72	34	36	30	36
SYNTH0119	70	184	123	99	49	79	84	66	63	36	63	50	102
SYNTH0120	19	60	55	25	53	74	44	63	80	28	25	20	39
SYNTH0121	213	197	177	298	208	88	337	199	357	268	131	401	198
SYNTH0122	565	375	299	219	504	365	470	517	538	194	223	379	160
SYNTH0123	58	34	72	90	78	61	47	90	51	53	56	63	91
SYNTH0124	63	69	35	73	79	70	150	132	63	47	97	69	66
SYNTH0125	144	194	239	242	247	440	281	128	344	283	88	308	282
SYNTH0126	371	404	512	345	380	321	391	252	453	212	313	661	424
SYNTH0127	107	100	142	90	222	138	134	125	132	96	46	93	90
SYNTH0128	19	30	35	45	51	23	29	32	29	24	20	33	30
SYNTH0129	14	1	13	5	5	23	48	26	60	8	29	26	19
SYNTH0130	46	38	16	32	30	68	34	51	17	31	40	48	105
SYNTH0131	302	267	185	642	568	522	560	574	301	647	751	587	463
SYNTH0132	164	570	264	328	142	306	599	610	285	444	331	440	664
SYNTH0133	271	282	299	281	239	145	130	207	144	239	161	336	351
SYNTH0134	825	719	871	659	955	422	655	589	1065	371	659	334	782
SYNTH0135	14	4	11	28	11	16	42	12	38	13	12	38	17
SYNTH0136	412	749	1199	322	778	1079	250	225	406	323	158	227	166
SYNTH0137	14	16	8	9	5	17	18	15	11	9	14	16	26
SYNTH0138	169	156	162	152	141	173	113	157	128	149	173	78	64
SYNTH0139	20	30	45	32	18	11	5	36	14	25	52	12	34
SYNTH0140	320	326	299	283	150	126	254	211	110	454	328	184	214
SYNTH0141	20	12	22	31	11	13	24	13	19	17	13	28	35
SYNTH0142	89	57	101	75	165	77	276	338	249	94	150	235	136
SYNTH0143	251	266	561	455	193	327	317	367	192	529	413	398	502
SYNTH0144	48	69	103	46	133	94	215	219	249	62	74	254	143
SYNTH0145	6	10	8	10	4	8	22	7	9	20	3	18	4
SYNTH0146	917	1452	1298	740	1969	970	634	885	461	435	327	513	286
SYNTH0147	18	20	43	36	10	11	22	26	46	47	40	23	21
SYNTH0148	706	201	127	319	418	384	223	401	168	471	149	407	278
SYNTH0149	49	19	59	44	46	74	61	47	69	83	34	55	74
SYNTH0150	429	413	398	284	354	215	158	283	350	376	429	307	265
SYNTH0151	21	33	13	22	9	20	9	20	28	13	28	12	18
SYNTH0152	112	143	82	48	97	110	146	91	176	93	49	102	131
SYNTH0153	33	45	18	29	57	69	41	28	42	76	22	21	14
SYNTH0154	484	248	439	406	291	356	432	270	368	800	398	370	652
SYNTH0155	138	72	142	126	150	107	120	87	71	107	121	62	126
SYNTH0156	210	198	128	336	234	199	81	117	41	56	60	120	130
SYNTH0157	8	18	26	24	16	8	14	26	16	32	11	22	19
SYNTH0158	2	6	6	8	2	7	15	10	20	21	7	18	11
SYNTH0159	401	279	122	357	147	141	309	313	235	129	189	70	57
SYNTH0160	158	148	89	130	203	96	561	759	254	293	135	477	601
SYNTH0161	41	92	57	13	35	35	33	66	59	86	53	27	48
SYNTH0162	183	217	220	103	139	125	284	180	114	144	60	322	143
SYNTH0163	234	128	40	124	72	120	194	80	285	88	212	91	114
SYNTH0164	102	38	139	62	51	48	66	113	90	74	131	49	102
SYNTH0165	414	394	213	442	392	678	479	196	588	215	281	548	350
SYNTH0166	17	29	53	23	14	34	18	29	55	17	25	21	24
SYNTH0167	253	240	489	432	205	418	710	439	485	324	475	488	327
SYNTH0168	419	312	136	142	276	196	276	181	125	208	120	294	362
SYNTH0169	106	196	219	403	112	708	573	151	389	297	197	180	155
SYNTH0170	29	53	50	127	38	82	97	73	54	125	156	126	51
SYNTH0171	19	7	26	14	18	11	15	14	9	10	24	20	32
SYNTH0172	481	349	356	192	438	349	635	305	101	522	211	291	464
SYNTH0173	28	43	44	25	79	11	52	48	11	71	26	38	27
SYNTH0174	292	397	299	144	260	290	238	196	247	328	155	185	237
SYNTH0175	32	39	26	16	38	35	53	25	19	20	29	53	13
SYNTH0176	522	303	319	419	565	376	835	412	445	823	279	1006	602
SYNTH0177	140	123	162	214	91	118	204	124	324	290	276	116	92
SYNTH0178	461	573	530	531	176	766	779	321	414	511	439	660	596
SYNTH0179	22	45	18	12	24	31	29	25	28	32	43	36	30
SYNTH0180	60	120	72	99	123	157	93	97	158	109	133	177	80
SYNTH0181	486	373	474	340	309	266	354	446	433	394	493	405	450
SYNTH0182	7	8	2	21	7	18	16	7	7	24	7	14	11
SYNTH0183	57	170	120	37	117	85	146	106	173	105	103	155	325
SYNTH0184	542	389	587	451	271	393	384	730	289	715	758	260	609
SYNTH0185	280	361	293	154	349	365	121	43	189	66	138	115	109
SYNTH0186	220	83	143	122	155	249	117	110	169	208	75	87	135
SYNTH0187	25	18	15	9	23	21	11	24	26	23	9	7	9
SYNTH0188	509	297	274	369	298	328	507	284	455	402	208	252	246
SYNTH0189	569	639	1134	428	544	1327	555	393	833	1287	1397	416	445
SYNTH0190	26	57	57	80	76	55	56	33	52	38	23	43	56
SYNTH0191	243	146	166	239	121	211	253	218	135	201	131	85	144
SYNTH0192	23	14	20	20	15	6	24	12	20	5	8	24	31
SYNTH0193	20	25	14	17	9	13	18	21	47	16	40	9	14
SYNTH0194	233	137	215	71	203	403	131	109	211	147	562	82	151
SYNTH0195	5	7	9	7	9	7	11	19	15	18	6	10	6
SYNTH0196	14	24	18	16	15	15	6	13	5	9	22	16	0
SYNTH0197	96	103	192	167	79	255	283	133	252	123	255	201	288
SYNTH0198	5	17	13	4	8	18	21	13	5	16	13	11	24
SYNTH0199	28	14	25	50	27	25	43	16	23	43	24	79	33
SYNTH0200	321	437	153	113	292	137	366	296	123	216	340	194	263
SYNTH0201	126	187	204	217	56	176	340	328	630	280	302	221	508
SYNTH0202	712	716	554	929	632	1158	980	555	803	1010	460	207	401
SYNTH0203	52	107	49	103	88	25	31	78	97	34	46	41	26
SYNTH0204	245	140	53	151	189	129	118	137	76	44	230	160	170
SYNTH0205	44	44	19	66	16	50	49	61	49	26	40	24	31
SYNTH0206	44	40	70	26	90	65	61	51	67	44	100	20	51
SYNTH0207	108	102	168	62	49	84	64	150	63	78	93	45	142
SYNTH0208	65	63	220	110	100	201	30	28	46	26	47	64	50
SYNTH0209	20	20	21	61	23	21	11	28	15	33	22	45	12
SYNTH0210	644	336	784	589	422	744	598	451	414	918	961	849	588
SYNTH0211	115	241	80	323	118	123	196	222	144	114	187	48	152
SYNTH0212	17	3	11	11	10	22	24	15	18	16	16	5	4
SYNTH0213	28	14	44	11	54	7	4	10	14	31	12	40	12
SYNTH0214	75	100	107	99	147	85	66	93	120	168	63	112	27
SYNTH0215	188	293	374	337	316	363	181	190	252	167	230	286	147
SYNTH0216	224	161	313	229	116	205	145	151	141	77	263	202	181
SYNTH0217	622	981	829	973	1545	955	991	1031	998	808	527	537	487
SYNTH0218	20	33	27	18	45	23	76	27	32	20	9	38	16
SYNTH0219	213	164	140	110	252	65	98	101	200	64	143	161	33
SYNTH0220	173	102	135	100	63	104	103	148	69	74	166	99	100
SYNTH0221	28	22	22	8	3	8	13	13	23	8	12	32	8
SYNTH0222	302	199	306	198	421	459	95	321	575	469	177	305	221
SYNTH0223	56	30	32	23	19	35	47	26	14	28	18	37	23
SYNTH0224	33	21	16	22	11	10	28	27	35	21	30	16	31
SYNTH0225	34	20	48	9	32	33	56	27	47	46	29	25	47
SYNTH0226	295	599	468	49	234	649	500	681	1150	430	627	1094	1313
SYNTH0227	28	22	20	15	10	22	29	19	34	24	12	23	31
SYNTH0228	36	34	32	34	57	25	64	22	35	32	21	52	28
SYNTH0229	104	50	79	70	50	66	71	74	30	101	105	97	43
SYNTH0230	84	108	45	61	72	44	60	94	108	89	63	133	104
SYNTH0231	111	206	105	311	280	191	145	119	238	97	210	205	374
SYNTH0232	248	180	316	238	176	320	205	212	148	222	184	178	314
SYNTH0233	42	49	27	40	26	86	27	87	62	58	49	20	39
SYNTH0234	43	21	47	38	54	18	67	16	51	22	34	11	30
SYNTH0235	128	67	49	128	110	144	69	142	116	211	179	141	110
SYNTH0236	76	106	97	140	155	98	232	166	90	135	93	42	117
SYNTH0237	0	23	9	4	22	10	13	12	12	11	12	8	11
SYNTH0238	37	44	30	29	16	45	15	21	18	12	26	27	22
SYNTH0239	16	9	14	10	13	9	14	23	18	8	8	7	5
SYNTH0240	41	48	62	62	48	27	59	85	85	33	105	52	122
SYNTH0241	105	207	151	190	215	244	238	305	71	489	128	114	204
SYNTH0242	169	115	146	76	147	61	62	98	72	139	132	126	73
SYNTH0243	10	13	13	15	18	23	18	14	6	47	24	12	31
SYNTH0244	217	200	241	316	204	118	112	294	74	98	149	92	100
SYNTH0245	336	123	299	288	149	94	197	64	352	180	187	142	83
SYNTH0246	19	14	33	31	37	16	23	27	50	8	14	31	6
SYNTH0247	31	73	69	27	18	22	36	44	26	42	37	55	20
SYNTH0248	371	553	701	290	254	358	985	730	476	499	460	507	449
SYNTH0249	34	10	11	37	16	42	27	35	29	15	36	41	20
SYNTH0250	142	279	316	188	108	282	179	65	121	221	274	230	298
SYNTH0251	46	90	26	65	65	38	33	33	34	43	20	68	59
SYNTH0252	203	239	156	230	103	66	147	111	250	220	222	103	276
SYNTH0253	103	149	120	109	114	129	72	58	131	59	120	83	84
SYNTH0254	42	22	39	55	62	64	48	27	35	81	46	57	52
SYNTH0255	316	172	179	241	173	367	237	190	284	136	490	191	275
SYNTH0256	43	71	37	29	31	48	25	38	49	82	28	60	44
SYNTH0257	267	443	341	520	392	509	344	463	307	236	455	399	468
SYNTH0258	187	199	83	224	76	279	243	526	121	255	282	413	299
SYNTH0259	248	621	408	434	156	754	221	629	172	437	288	436	394
SYNTH0260	33	23	35	16	17	22	21	17	20	10	19	22	10
SYNTH0261	38	38	17	24	19	24	34	44	43	37	45	35	12
SYNTH0262	25	25	42	37	34	11	50	70	38	85	17	27	22
SYNTH0263	10	11	1	10	13	22	10	14	6	14	15	4	29
SYNTH0264	863	592	278	348	410	601	591	809	808	416	387	908	356
SYNTH0265	67	72	14	37	100	45	48	52	69	51	30	70	123
SYNTH0266	7	13	8	1	6	0	14	10	20	10	8	15	20
SYNTH0267	131	214	87	99	69	106	45	24	9	56	59	45	16
SYNTH0268	51	25	52	40	16	67	35	60	33	20	62	55	67
SYNTH0269	63	84	67	71	64	63	243	238	237	194	219	232	362
SYNTH0270	132	51	134	69	42	94	54	121	62	38	106	38	44
SYNTH0271	44	52	90	40	106	43	53	37	60	55	52	54	39
SYNTH0272	43	34	44	56	9	40	43	64	39	38	39	37	39
SYNTH0273	32	19	15	16	15	16	10	19	25	21	15	24	19
SYNTH0274	25	12	8	23	19	20	24	7	11	22	14	21	9
SYNTH0275	466	359	166	292	334	660	207	254	412	712	198	418	389
SYNTH0276	172	118	113	108	128	192	183	166	156	195	138	102	235
SYNTH0277	23	30	21	32	62	48	15	19	36	31	34	46	43
SYNTH0278	262	918	263	757	693	496	438	873	364	517	900	632	549
SYNTH0279	27	19	68	46	27	44	62	40	48	43	32	15	50
SYNTH0280	1041	489	159	545	269	333	673	257	621	369	302	284	220
SYNTH0281	57	31	16	52	32	13	18	15	22	10	16	24	14
SYNTH0282	1877	1019	746	1986	1509	746	1181	485	676	531	209	533	500
SYNTH0283	217	253	115	137	243	253	106	166	348	202	125	186	153
SYNTH0284	232	185	74	122	189	81	68	150	118	204	248	118	176
SYNTH0285	28	20	11	14	19	15	28	10	11	3	23	15	28
SYNTH0286	30	33	31	13	14	12	40	30	18	25	43	41	34
SYNTH0287	64	45	81	33	45	26	55	35	22	47	46	43	22
SYNTH0288	4	20	16	11	6	14	2	11	5	17	15	1	20
SYNTH0289	107	114	206	123	75	155	182	93	79	162	118	64	114
SYNTH0290	83	133	182	142	93	142	67	63	91	70	91	61	104
SYNTH0291	285	106	189	437	139	369	181	319	260	289	241	366	265
SYNTH0292	38	113	151	72	81	155	79	61	113	37	106	158	67
SYNTH0293	9	5	16	6	9	16	24	10	15	15	19	10	14
SYNTH0294	226	109	235	158	256	394	230	275	140	207	213	50	375
SYNTH0295	245	282	316	118	246	198	401	319	521	908	1079	469	474
SYNTH0296	20	7	16	10	8	10	9	33	6	9	19	13	7
SYNTH0297	333	402	763	198	570	215	388	459	574	641	683	651	730
SYNTH0298	116	137	133	145	188	127	67	149	191	121	89	199	235
SYNTH0299	33	101	63	56	67	60	85	84	79	87	97	140	51
SYNTH0300	16	16	22	36	5	14	20	31	38	35	24	2	14
SYNTH0301	474	291	846	405	793	848	382	483	371	612	398	490	401
SYNTH0302	18	65	48	22	26	13	67	55	19	30	28	32	36
SYNTH0303	32	69	30	26	14	58	20	15	21	14	43	15	28
SYNTH0304	73	99	76	110	153	59	42	122	43	29	62	66	23
SYNTH0305	805	791	399	428	517	700	274	149	693	631	279	306	467
SYNTH0306	822	1658	664	563	432	870	390	430	273	855	631	898	1450
SYNTH0307	10	10	15	16	8	8	12	15	16	4	10	2	8
SYNTH0308	76	45	62	61	84	82	43	140	78	90	134	74	63
SYNTH0309	678	237	338	1271	351	415	847	188	1314	317	713	581	343
SYNTH0310	375	572	359	318	369	106	636	481	226	441	303	684	416
